article_id,predict.mg,predict.kd,predict.correct,s8starred_i.mg,s8starred_i.kd,s8starred_i.correct,s8starred_i_ev.mg,s8starred_i_ev.kd
Foste2018hort00-7,,,,No,Partially-External,becky it,,"Missing source for smoking and don't say if which quesitonnaires were nurse-led or self-report but link to UK website ""Participants attended one of 22 assessment centres across England, Scotland, and Wales, where they completed touchscreen and nurse-led questionnaires, had physical measurements taken, and provided biological samples.15 All individuals registered with the National Health Service (NHS) aged 40–69 years who were living within 25 miles from one of the 22 study assessment centres were invited to participate; those who responded and had capacity to consent were included. Participants were excluded from analyses if they reported implausible values for physical activity, television viewing time, or sleep duration, defined as the sum of their total physical activity, sleep duration, and total screen time exceeding 24 h. Further details of these measurements can be found in the UK Biobank online protocol.16"""
Harve2018hort3375,,,,Yes (Could Be Partially External.,Partially-External,Partially-External,"""Participants completed a series of touchscreen computer‐based questionnaires followed by a face‐to‐face interview with trained research staff. Details of the assessments and variables are publicly available (http://biobank.ctsu.ox.ac.uk/crystal/), and a transcript of the touchscreen questionnaire may be downloaded (http://www.ukbiobank.ac.uk/wp-content/uploads/2011/06/Touch_screen_questionnaire.pdf?phpMyAdmin=trmKQlYdjjnQIgJ%2CfAzikMhEnx6)."" And igves more detail although it doesn't say qhich question come from interview or questionaire.","Missing what kind of questionnaire used to collect sociodemographic variables but link to transcript of questionnaire ""Participants completed a series of touchscreen computer‐based questionnaires followed by a face‐to‐face interview with trained research staff. Details of the assessments and variables are publicly available (http://biobank.ctsu.ox.ac.uk/crystal/), and a transcript of the touchscreen questionnaire may be downloaded (http://www.ukbiobank.ac.uk/wp-content/uploads/2011/06/Touch_screen_questionnaire.pdf?phpMyAdmin=trmKQlYdjjnQIgJ%2CfAzikMhEnx6). The information collected included sociodemographics (age, sex, ethnicity, educational attainment) and lifestyle factors (including cigarette smoking, diet, physical activity, and alcohol use), medication, and supplement use. Physical activity was documented through the question: “In a typical WEEK, how many days did you do 10 minutes or more of vigorous physical activity? (these are activities that make you sweat or breathe hard such as fast cycling, aerobics, heavy lifting).” Height and weight were measured in all participants by trained data collectors during the clinic attendance using standard operating procedures, and body mass index (BMI) was subsequently calculated (kg/m2). We obtained information on incident hospital admission coded using the International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD‐10) for ischemic heart disease (IHD: I20–I25), myocardial infarction (MI: I21), and death after these events, through linkage to Hospital Episode Statistics and death registry data (Office for National Statistics) with data included up to 10 years after baseline assessment."""
Kim2017tudy.122,,,,Yes,Partially,Partially,in detail for each,"Missing sources of age, ethnicity, smoking, alochol and employment ""Exposures
Grip strength (GS)
GS was assessed once in each hand using a hydraulic hand dynamometer (Jamar J00105, Lafayette, IN, USA), which can measure isometric grip force up to 90 kilograms. The device has good reliability and reproducibility.21 Staff calibrated the device at the start of each measurement day. Each participant was asked to sit upright on a chair with their forearm on the armrest, and then grasp the handle of the device in their right hand. They were required to maintain a 90° angle of their elbow adjacent to their side so that their thumb would face upwards, while squeezing the handle as strongly as possible for ~3 s. The same protocol was performed with the left hand. For the current analysis, we used average values of the two hands; unless the value from only one hand was available (n=233). Sex- and age-specific quintiles of GS were generated for analyses (Supplementary Table 1).

Adiposity measures
Body mass index (BMI) was calculated by dividing measured weight (kg) by measured height squared (m2). Waist circumference (WC) was measured by a tape measure at the level of the umbilicus. For the present analyses, BMI (kg m−2) was categorised as normal weight (18.5–24.9), overweight (25.0–29.9), obesity class I (30.0–34.9) and obesity class II (⩾35.0). A total of 62 men and 373 women who were underweight (BMI<18.5 kg m−2) were excluded from the analyses because of small sample size. Three categories of WC were generated according to the following sex-specific cut points: ⩽79.9 cm, 80.0–87.9 cm and ⩾88.0 cm for women, and ⩽93.9 cm, 94.0–101.9 cm and ⩾102.0 cm for men.22

Physical activity outcomes
Accelerometer data collection
An invitation to participate in the PA sub-study was emailed between February 2013 and December 2015 to 236 519 participants who had given a valid email address upon recruitment. Participants in the North West region who had been involved in other sub-studies were not invited for accelerometer measurement due to the potential participant burden. Enclosed in an envelope, a tri-axial accelerometer (Axivity AX3, Newcastle upon Tyne, UK23) configured to capture three-dimensional acceleration at 100 Hz with a dynamic range of ±8 g was mailed, along with instructions on proper use of the device, to consenting participants, who were asked to start wearing the monitor on the dominant wrist (defined as the hand that participants typically use to write) upon receipt and for the next 7 days. Devices were programmed to start and finish recording at pre-specified times. Participants were requested to send the monitor back to the co-ordinating centre in a provided pre-paid envelope at the end of the 7-day monitoring period....baseline self-reported MVPA"""
Kunzm2018noma.014,Yes,Yes,Yes,,,,,
Kyle2017bank.001,,,,Partially,Yes,Partially,"""Questionnaires and cognitive assessments were administered in a standardised order via a computerized touchscreen interface, followed by a face-to-face interview with a research nurse to obtain additional data. Assessments of sleep-related variables and cognitive performance took place in a single visit lasting approximately 90 minutes."" but not age sex or townsend","""All participants gave written informed consent. Assessmentswere conducted at 22 centres across England, Scotland, and Walesbetween 2006 and 2010. Questionnaires and cognitive assessmentswere administered in a standardised order using a computerisedtouchscreen interface, followed by a face-to-face interview with aresearch nurse to obtain additional data. Sleep-related variablesand cognitive performance were assessed in a single visit thatlasted approximately 90 min.2.3. Sleep-related variablesTo assess insomnia symptoms, participants were askedâ€˜Do youhave trouble falling asleep at night or do you wake up in themiddle of the night?â€™with responsesâ€˜never/rarelyâ€™,â€˜sometimesâ€™andâ€˜usuallyâ€™. Participants were categorised as having frequentinsomnia symptoms if they answeredâ€˜usuallyâ€™to this question,while the remaining participants made up the control groupwithout frequent insomnia symptoms. Chronotype was assessedusing the following question:â€˜Do you consider yourself to beâ€™...:â€˜definitely aâ€œmorningâ€personâ€™,â€˜more aâ€œmorningâ€thanâ€œeveningâ€personâ€™,â€˜more anâ€œeveningâ€thanâ€œmorningâ€personâ€™,â€˜definitely anâ€œeveningâ€personâ€™. For the purposes of the present study, wecollapsed the two middle responses into anâ€˜intermediateâ€™chro-notype category, permitting comparisons with theâ€˜definitelymorningâ€™andâ€˜definitely eveningâ€™groups. Sleep duration wasrecorded as the number of reported hours to the following ques-tion:â€˜About how many hours sleep do you get in every 24 h? (include naps)â€™. Given previously established U-shape relationshipswith health and cognition[20], we categorised sleep duration intoshort (<7 h), normal (7e9h)andlong(>9 h) based on recentguidelines[21].2.4. Cognitive performanceFive cognitive measures were administered through a compu-terised touchscreen interface[22]. Time to complete allfivecognitive tests was approximately 15 min. The tests were designedspecifically for the UK Biobank to allow administration at scalewithout examiner supervision. The tasks show evidence of an un-derlying performance factor and good stability over time, with theexception of visual memory performance, which has a compara-tively lower intraclass correlation coefficient[22]. Thefive tasks involved the following instructions:Reasoning: This task assessed the ability to solve 13 verbal andnumeric reasoning problems. Each problem hadfive possibleresponse options. The dependent variable was the total numberof correct answers given (range 0e13) within a 2-min period,with higher scores indicating better performance.Basic reaction time: This task was delivered in the style of thecard game,â€˜snapâ€™, and requested participants to respond with abutton press when they detected the appearance of a matchingpair of symbols. The dependent variable was the mean responsetime in milliseconds across 12 matching-pair trials. RT valueswere log-transformed because of skewed distribution (ln x).Numeric short-term memory: In this task, a string of numberswas presented on the screen, which subsequently disappeared.Participants were then asked to enter the number string frommemory, in the reverse order, through a keypad. The dependentvariable was the maximum string length recalled correctly(range: 0e12), with higher scores indicating better perfor-mance. The test was discontinued afterfive successive incorrectresponses at string lengthÂ¼2.Visual memory: In this task, six card pairs of symbols were pre-sented on-screen in a random pattern. Cards were then turnedface down on the screen, and participants were asked to locate asmany symbol pairs as possible in as few attempts as possible. Thedependent variable was the number of errors made during pairsmatching (range 0e146), which was log-transformed because ofskewed distribution and zero inflation (ln (xÃ¾1)).Prospective memory: In this task, participants were asked toremember to perform a pre-planned instruction. Specifically, atthe beginning of the test battery, they were presented with thefollowing instruction:â€˜At the end of the games we will show youfour coloured symbols and ask you to touch the blue square.However, to test your memory, we want you to actually touch theorange circle insteadâ€™. If participants remembered to touch theorange circle onfirst attempt, they were coded asâ€˜correctâ€™(1),while those failing to do so were set to 0.2.5. Demographic dataDemographic data included age, sex, and neighbourhood-levelsocioeconomic status as measured by the Townsend index of ma-terial deprivation. For statistical analyses, socioeconomic status waslog-transformed because of skewed distribution by using anâ€˜ln(xÃ¾7)â€™equation (minimum of non-transformed index:6.26).Educational qualifications were recorded and were dichotomisedaccording to whether participants held a college/university degree.We also included body mass index (BMI) as a covariate in adjustedanalyses.2.6. Medication and clinical dataCurrent medications were self-reported to the research nurse,and the participants were dichotomised according to whether theywere taking sleep medication (sedatives and hypnotics), any otherpsychotropic medication (mood stabilisers, antidepressants, andantipsychotics) or antihypertensive medication (ACE inhibitors,angiotensin II antagonists, beta blockers, calcium channel blockers,and diuretics). Current depressive symptoms were assessed usingthe following question:â€˜Over the past two weeks, how often haveyou felt down, depressed or hopeless?â€™, with the followingresponse options:â€˜not at allâ€™,â€˜several daysâ€™,â€˜more than half thedaysâ€™orâ€˜nearly every dayâ€™. For the purpose of the present analyses,those scoringâ€˜several daysâ€™,â€˜more than half the daysâ€™orâ€˜nearlyevery dayâ€™were coded in theâ€˜depressive symptomsâ€™category, whilethose scoringâ€˜not at allâ€™were considered in theâ€˜no depressivesymptomsâ€™category. In addition, participants were dichotomisedaccording to whether they reported hypertension or any cardio-vascular disease.2.7. AnalysesDescriptive data presentation included mean values and stan-dard deviations and the proportion of the sample reporting specificquestionnaire response options. Questionnaire response options,â€˜do not knowâ€™orâ€˜prefer not to answerâ€™, were handled as missingvalues. For cognitive dependent variables, the sample size variedacross tests because the reasoning and prospective memory testswere added after the commencement of data collection, while thenumeric memory task was included from the outset but subse-quently removed because of time constraints.In afirst step (unadjusted analyses, model 1), the associationbetween insomnia status (those with frequent insomnia symptomsvs. those without frequent insomnia symptoms) and cognitiveperformance was analysed using four linear models, with insomniastatus as the single predictor variable and reasoning, basic reactiontime, numeric memory, and visual memory as dependent variables.The association between insomnia status and prospective memoryperformance was investigated using a logistic model. In a secondstep (model 2), age, sex, socioeconomic status, and education wereadded as covariates in the linear and logistic models described inmodel 1. In a third step (model 3), chronotype (with the interme-diate type as the reference category), sleep medication use, BMI as acontinuous variable, hypertension, antihypertensive medication,cardiovascular disease, depressive symptoms, and psychotropicmedication were added as further covariates. In afinal step (model4), sleep duration (with 7e9 h as the reference category) wasinserted as an additional predictor of cognitive performance. Wetherefore report unadjusted and multivariate-adjusted relation-ships between insomnia status and cognitive outcomes. For chro-notype, sleep duration and sleep medication, we report only thefully adjusted relationships (model 4) controlling for all de-mographic, clinical and remaining sleep variables. Given that weanalysedfive cognitive tests, the alpha level was set atp<0.01 forall analyses"""
Littl2016arch.010,Yes,Yes,No,,,,,
Lopha2017ings0288,Yes,Yes,Yes,,,,,
Lyall2017antsw528,,,,Yes,Yes,Yes,gives all.,"""We examined three tests that were included as part of the UK Biobank baseline cognitive assessment. The complete battery is detailed in an open-access baseline paper.13 The first of these was a task with thirteen logic/reasoning-type questions and a two-minute time labelled fluid intelligence in the UK Biobank protocol but hereafter referred to as verbal-numerical reasoning (http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20016). The maximum score was 13. The Cronbach alpha coefficient for these items has been reported elsewhere as 0.62,14 and the task shows reasonable reliability across on average 4.3 years in 4253 participants with repeat data (r = 0.65, P <0.001). The next task was a visual memory test called pairs matching (http://biobank.ctsu.ox.ac.uk/crystal/label.cgi?id=100030), where participants were asked to memorize the positions of six card pairs, and then match them from memory while making as few errors as possible. We refer to this test as the memory task from here on. Scores on the memory test are for the number of errors that each participant made, and higher scores are, therefore, worse. The memory test did not show good reliability in 19 017 participants with longitudinal data (r = 0.16, P <0.001); however, this may partly be due to slight floor effects where most participants made few-to-no errors on repeat assessment, and it will be a more informative test variable when measured at baseline. Finally, participants completed a timed test, measured in milliseconds, of symbol matching; similar to the common card game Snap (http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20023) which we refer to as reaction time....As part of the baseline assessment, participants were asked whether a physician had diagnosed myocardial infarction, angina, stroke, hypertension or diabetes. We defined CAD as angina and/or myocardial infarction. Participants self-reported other conditions freely on a separate assessment screen (e.g. atrial fibrillation). Townsend deprivation indices were derived from postcode of residence.15 They provide an area-based measure of socioeconomic deprivation derived from aggregated data on car ownership, household overcrowding, owner-occupation and unemployment. Education was based on self-report of the highest qualification achieved and dichotomised into university/college degree or less. (We have conducted additional analysis and found that analysing the ‘education’ variable as a more fine-grained ordinal variable of ‘degree; A-levels/AS-levels; O-levels/GCSEs; CSEs; NVQ/HND/HNC; none’ made no difference to the final results; data available upon request.) Participants self-reported their ethnic group and we recoded this into white and non-white.16 Body mass index was measured by trained research staff. Participants removed their shoes and heavy outer clothing. Weight was measured, to the nearest 0.1 kg, using a Tanita BC-418 MA body composition analyser and height using a Seca 202 height measure. Body mass index (BMI) was derived from: weight (kg)/(height (m) × height (m)). Smoking was coded as never, previous, or current smoker based on self-report. Frequency of alcohol intake was recorded as never, special occasions only, 1–3 times per month, 1–2 times per week, 3–4 times per week, daily/almost daily. Participants self-reported whether they were on medication for cholesterol, high blood pressure or on insulin. The minority of participants that did not know or chose not to answer were removed."""
Marti2016tudy7784,,,,Yes,Yes,Yes,gives everything,"""They completed a touchscreen questionnaire that collected information on demographics (including age, gender, ethnicity and postcode), health-related behaviours (including smoking status and alcohol consumption) and a self-report of physician-diagnosed medical conditions, including diabetes, hypertension, myocardial infarction, angina and stroke. Current medication was recorded with assistance from a member of trained clinic staff, who also used standard operating procedures to measure height and weight for body mass index (BMI) calculation"""
Mulle2017tudy2467,Yes,Yes,Yes,,,,,
Orteg2017bank97-5,,,,Yes,Yes,Yes,give registry and says trained researcher took standard measures.,"""During the baseline recruitment visit, participants were asked to complete a touchscreen self-administered questionnaire, which included questions on socio-demographics (including age, education and Townsend deprivation score), health and medical history, lifestyle exposures (including smoking habits, dietary intakes, physical activity, and alcohol consumption), early life exposures, and medication use....At the baseline assessment centre visit, trained staff used standard procedures to collect and record the body size and composition measurements. Body weight was measured using the Tanita BC-418MA body composition analyser. Participants were asked to remove their shoes and heavy outer clothing before weighing9,10. Height was measured in a barefoot standing position using the Saca 202 device. BMI was calculated by dividing weight in kilograms by the square of height in metres. Waist circumference and hip circumference were measured using the Wessex non-stretchable sprung tape measurement. Waist-to-hip ratio was calculated by dividing waist circumference by hip circumference. The Tanita BC-418MA body composition analyzer (Tanita, Tokyo, Japan) was used to assess bioelectrical impedance measures including total body fat percentage, and and trunk fat percentage.

Colorectal cancer case ascertainment
Cancer cases within the UK Biobank cohort were identified through linkage to national cancer registries""
"
O'Sul2018tudy2915,,,,Yes,Yes,Yes,gives all in detail.,"""Participants filled in a number of questionnaires, providing information on sociodemographic characteristics and lifestyle, including the following: age, gender, residential location, education [a number was assigned in a hierarchical fashion; 1: none of the above, 2: Certificate of Secondary Education or ordinary‐level general certificate of education, 3: advanced‐level general certificate of education, 4: National Vocational Qualification or Higher National Diploma/Certificate, 5: other professional qualifications, 6: college or university degree], smoking, alcohol use, vitamin D supplement use [derived from reported use of supplements], diet [frequency of consumption of different foods, including oily fish], physical activity levels in the last 4 weeks [none; low: walking for pleasure (not as a means of transport) and light DIY (e.g. pruning, watering the lawn); medium: heavy DIY (e.g. weeding, lawn mowing, carpentry, digging) and other exercises (e.g. swimming, cycling, keep fit, bowling); high: strenuous sports], ease of tanning, use of sun protection, and time spent outdoors (average number of hours/day in summer and winter; the average of these was calculated and categorized: 0–2 h day−1 represented “low” category, 2–5 h day−1 represented “intermediate,” and >5 h day−1 represented “high” level of time spent outdoors).

Information about participants’ health was collected. Self‐reported presence of different esophageal or gastric problems was identified (including gastro‐esophageal reflux, Barrett's esophagus or gastric ulcers), and information on other conditions, such as osteoporosis, cardiovascular conditions and diabetes, was also collected. Participant's height and weight were taken and used to calculate BMI. More detail about the cohort can be found elsewhere 17, 19, 20.

Case–control cohort
Information on cancer diagnosis after recruitment to UK Biobank was gathered via linkage to the national cancer registries, which register and collect data on all cancers diagnosed....UV dose data from the Tropospheric Emission Monitoring Internet Service (TEMIS) database (www.temis.nl/uvradiation/UVdose.html; version 2.0) were used 22"""
Pacco2018bank26-8,,,,Yes (Or Partially External),Partially-External,Partially-External,"""Participants completed a series of computer-based questionnaires followed by face-to-face interviews with trained research staff. Details of the assessments and variables are publicly available (http://biobank.ctsu.ox.ac.uk/crystal/), and a transcript of the questionnaire may be downloaded (http://www.ukbiobank.ac.uk/wp-content/uploads/2011/06/Touch_screen_questionnaire.pdf?phpMyAdmin=trmKQlYdjjnQIgJ%2CfAzikMhEnx6)."" and gives registry.","Missing what kind of questionnaire used to collect sociodemographic variables but link to transcript of quesitonnaire ""Participants completed a series of computer-based questionnaires followed by face-to-face interviews with trained research staff. Details of the assessments and variables are publicly available (http://biobank.ctsu.ox.ac.uk/crystal/), and a transcript of the questionnaire may be downloaded (http://www.ukbiobank.ac.uk/wp-content/uploads/2011/06/Touch_screen_questionnaire.pdf?phpMyAdmin=trmKQlYdjjnQIgJ%2CfAzikMhEnx6). Information collected included socio-demographics (gender, age, ethnicity, and educational attainment), lifestyle factors (including smoking status, alcohol consumption and physical activity) and self-reported physician-diagnosed comorbidities (e.g. hypertension, diabetes and cancer). Details regarding calcium and vitamin D use and hormonal replacement therapy (HRT) in women were also obtained. The questionnaire asked participants to report any doctor's diagnosis of cardiovascular comorbidities such as coronary artery disease (combining angina and heart attack), stroke, and diabetes, and for all regular medications to be listed. Weight and height measurements were obtained for calculation of BMI (kg/m2); systolic and diastolic blood pressures (SBP, DBP) were measured using the Omron HEM-7015IT digital blood pressure monitor. History of fracture was self-reported. All participants were asked if they had fractured or broken a bone in the past five years and if yes, at which of the following specific sites: ankle, leg, hip, spine, wrist, arm or other bones. A further question asked if the fracture resulted from a simple fall (low-trauma fracture). Combining this information, ‘fragility fracture’ was defined as a low-trauma (occurring as a result of a fall) fracture involving the hip, spine, wrist or arm. ‘Other’ and ‘unknown’ fractures were excluded from subsequent analyses. Broadband ultrasound attenuation (BUA) (db/MHz) and speed of sound (SOS) (m/s) were measured at least twice on each calcaneum with a SAHARA sonometer (Hologic, Marlborough, USA) and left and right mean values used for analysis. Intermalleolar distance (“ankle spacing width”) was also recorded, as soft tissue thickness may influence heel ultrasound indices. Measures of BUA were available for 485,899 of the 502,664 participants who attended the health examination and completed the health and lifestyle questionnaire.

Ascertainment of outcomes
Information on incident hospital admission for ischaemic heart disease (IHD: I20-I25) and for acute myocardial infarction (I21) or angina (I20, which includes both unstable and stable angina) was obtained through linkage to UK Hospital Episode Statistics (HES)."""
Pan2019tudy.008,,,,Yes,Partially,Partially,"""The location of sites at which the participants experienced pain was measured by self-reported questionnaire. Participants were asked whether they had pain (yes/no) at the: hip, knee, back and neck/shoulder for more than three months."" and gives more detail for each.","Missing sources of demographic variables ""The location of sites at which the participants experienced pain was measured by self-reported questionnaire....Participants were asked to wear the accelerometer on their dominant wrist continuously while engaging in their normal daily activities, and then return the device....The UK Biobank participants underwent a cardio-respiratory fitness test which consisted of heart-rate monitoring (using a 4-lead electrocardiograph [ECG]; Cardiosoft v6.51) during cycle ergometry on a stationary bike (eBike, Firmware v1.7) with a ramp slope that is adapted to the individual based on age, gender, weight and medical history. Detailed protocol about cardio-respiratory fitness test has been previously described."""
Papag2019omen2359,,,,Yes,Yes,Yes,"""Postmenopausal women completed a touchscreen questionnaire (available online: http://www.ukbiobank.ac.uk/resources/) including questions on sociodemographic characteristics, health status, and lifestyle habits. "" and gives more detail","""Sociodemographic and lifestyle characteristics
Postmenopausal women completed a touchscreen questionnaire (available online: http://www.ukbiobank.ac.uk/resources/) including questions on sociodemographic characteristics, health status, and lifestyle habits. Participants self‐reported their age, sex, and ethnicity. Ethnicity was categorized as White or other (mixed, Asian, Black, Chinese, and other). A Townsend deprivation score was computed for all participants using information about employment, car and home ownership, and household overcrowding.20 A higher Townsend deprivation score is indicative of greater levels of an area's socio‐economic deprivation.20 Participants reported their smoking status (never, previous, or current) and their alcohol intake (never, previous, or current). Data on physical activity including frequency (number of days in a typical week that participants performed 10 min or more of walking, moderate, and vigorous physical activity) and duration (minutes spent on each activity category on a typical day) were collected by asking questions similar to those included in the International Physical Activity Questionnaire.21 For each activity category, the frequency was multiplied by the duration and the metabolic equivalent value (3.3 for walking, 4.0 for moderate physical activity, and 8.0 for vigorous physical activity), which were then summed to generate a score of metabolic equivalent minutes of physical activity per week for each participant.

Medical history and current medications
Self‐reported data on medical conditions were collected at baseline by asking participants whether a doctor has diagnosed any cancer or diabetes. Participants reported if they had undergone bilateral oophorectomy or hysterectomy or were on hormone replacement therapy (HRT). Self‐reported data on fracture occurrence (yes or no) over the past 5 years were also collected. Information on X‐ray verification was unavailable.

Quantitative heel ultrasound
Quantitative ultrasound of the heel was performed using the Sahara Clinical Sonometer (Hologic, Bedford, Massachusetts) according to a standardized protocol. Trained staff checked if participants were able to undertake both left and right heel ultrasound measurement. Those with open wounds, breaks or sores around the heel, or metal parts (such as pins) in the heel did not undertake measurement of that heel. Each centre used the same machine model, and quality control was performed with a phantom on a daily basis as per manufacturer's instructions. The mean values for BMDs (g/cm2) and BMD T‐scores for the left and right heel were computed.

Anthropometric and bioelectrical impedance measurements
Height was measured using the SECA 240 height measure (SECA, Hamburg, Germany). Participants removed their socks and footwear and stood flat footed with their heels against a back plate. Body mass was measured to the nearest 0.1 kg using a segmental body composition analyser (Tanita BC‐418MA, Tokyo, Japan). Height and weight were used to calculate BMI as weight (kg) divided by height squared (m2). Waist circumference was measured at the level of the umbilicus using a tape measure. All these measurements were performed by trained staff....Assessment of outcome
Via the Health and Social Care Information Centre for English and Welsh participants and the Information Services Department for Scottish participants, we ascertained the diagnosis of osteoporosis with or without a pathological fracture until 31 January 2016 for England and Wales and 30 November 2015 for Scotland. Diagnoses of the events were confirmed by primary care physicians and coded according to the World Health Organization's International Classification of Diseases 10th Revision (ICD‐10: M80‐M82)."""
Strac2017dies5381,,,,Partially,Partially,Partially,Says all but deaths.,"Missing details on UKB baseline questionnaire and details on the health surveys ""This study recruited 502<U+2009>682 volunteers aged 40â€“69 years in 22 recruitment centres throughout England, Wales and Scotland during 2006â€“2010, following invitations to 9 million people.15 Spirometry was performed using a handheld pneumotachograph spirometer (Pneumotrac 6800) from which volumeâ€“time arrays were stored for each blow.16 Eighty-one per cent of the cohort performed two blows with acceptable start and measures of FEV1 reproducible within 250 mL. This was considered the most inclusive sample of â€˜usable spirogramsâ€™. When end-blow quality was also considered, 58% of the cohort had evidence of a good plateau and both FEV1 and FVC reproducible within 150 mL, the criteria recommended by the American Thoracic Society/European Respiratory Society (ATS/ERS) Task Force on Standardisation of Spirometry.17 This subgroup of 58% was considered to be the â€˜best qualityâ€™ spirograms, among which to evaluate the relative importance of FEV1 and FVC as predictors of mortality. The present analysis is based on deaths occurring up to mid-August 2015, a mean follow-up period of 6.5 years. There were 2401 deaths among 149 343 lifelong non-smokers aged 40â€“69 years of white ethnicity who performed â€˜usable spirograms. Deaths from respiratory disease, circulatory disease, cancer and all other causes were coded using ICD10 (chapters J, I, C and all others, respectively). Smoking history was self reported. Socioeconomic status was measured at the level of residential area, using the Townsend Deprivation Index, grouped into quartiles for analysis. Biobank recruitment centre was used as an additional covariate to adjust for possible regional differences. Adjustment of spirometric measures for gender, age and height The Global Lung Initiative (GLI) 2012 reference equations for white ethnic groups18 were used in both sets of data to standardise FEV1 and FVC for age, sex and height. The GLI-2012 equations generate a â€˜z-scoreâ€™ which represents the relative position of an individual among the distribution predicted for lifelong non-smokers with no history of lung disease of the same gender, age and height. This allows for the spread of predicted values to differ by age, height and gender, expressing the relative ranking of an individual in terms of a SD (z) score. For each individual in the analysis, there were three GLI-2012 z-scores, corresponding to their relative ranking for FEV1 (zFEV1), FVC (zFVC) and the ratio FEV1:FVC (zFEVFVC). Outlying observations were excluded by restricting all the analyses in both data sets to values of zFEV1 and zFVC within the range -5 to +5 z-score units. This exclusion removed 0.2% of UKB participants, 0.5% of participants in the national health surveys aged 40â€“69 years and 0.3% of national health survey participants aged 70 years or more."""""
Yaghj2018bank28-x,,,,Yes,Yes,Yes,gives all,"""The touchscreen questionnaire and other resources are also available on the UK Biobank website (http://www.UKBiobank.ac.uk/resources/).

Participants were followed via record linkage to the NHS Central Registers which provide information on cancer diagnoses coded according to the 10th revision of the International Classification of Diseases (ICD-10) [20]....Coffee consumption
Information on coffee consumption was collected at the time of the recruitment visit using a short touchscreen self-reported food frequency questionnaire that included 29 questions on commonly consumed food groups based on the expected distribution in the UK as well as some common sources of various nutrients [21, 22]. This questionnaire asked about the frequency of consumption over the past year of vegetables, fruit, fish, meats, cheese, salt added to food, tea, water, milk, bread, cereal, as well as cups of coffee (“How many cups of coffee do you drink each day?”) and type of coffee most commonly consumed (“What type of coffee do you usually drink?”). To assess validity and reproducibility of this diet assessment tool, the results reported on the initial questionnaire were compared with the diet reported at a subsequent repeated assessment (with the median time between two assessments = 4.4 years) as well as with the results from 24-h food frequency questionnaire completed during follow-up by a sub-sample of participants. There was good agreement between reported consumption at recruitment and at the repeat assessment as well as good agreement between diet from initial and 24-h food frequency questionnaires suggesting that UK Biobank food frequency questionnaire was able to reliably rank participants according to their consumption of main food groups [22].

Even though a subset of individuals in the UK Biobank also completed follow-up questions on coffee consumption at subsequent visits, as follow-up information on coffee consumption was missing for majority of the participants (> 95%), only baseline data were used in the analysis. Consistent with previous studies [5], coffee consumption categories were defined as < 7 cups/week, 1 cup/day, 2–3 cups/day, and 4+ cups/day.

Covariate information
Information on breast cancer risk factors was extracted from baseline questionnaire and updates. Weight and height for body mass index (BMI) calculation were measured at every visit to the study assessment center. BMI at recruitment was calculated as kg/m2. Race/ethnicity was defined using 2001 Census and the Health Survey for England classifications and re-coded for the purpose of this analysis due to extremely small numbers for racial/ethnic groups other than Caucasian. Family history of breast cancer was defined as having any first degree relative with breast cancer diagnosis. As inherited genetic susceptibility may not have fully manifested at the time of the entry into the study, we supplemented data on family history from baseline with those from the follow-up visits to fully capture this information. Information on smoking, alcohol use, and parity and age at first birth were extracted from baseline."""
