StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,article_id,title,initials,access_article,access_supp,design,design_ev,design_judg,design_judg_4_TEXT,design_judg_rat,comments
2019-10-29 11:57:57,2019-10-29 12:02:05,IP Address,100,248,True,2019-10-29 12:02:05,R_A0PxBbxeW0kjvjz,anonymous,EN-GB,Patte2016bank97-5,"Smoking, Screen-Based Sedentary Behavior, and Diet Associated with Habitual Sleep Duration and Chronotype: Data from the UK Biobank",MG,Yes,Yes,cross-sectional,"Regression models were used to examine sleep duration and chronotype as the predictors and cardiovascular risk factors as outcomes of interest in a cross-sectional sample of 439,933 adults enrolled in the UK Biobank project.",,,,
2019-10-29 12:02:08,2019-10-29 12:06:50,IP Address,100,282,True,2019-10-29 12:06:51,R_2402RRWvyU7FiQa,anonymous,EN-GB,Dixon2019hort50-2,The Association Between Adiposity and Inpatient Hospital Costs in the UK Biobank Cohort,MG,Yes,Yes,cohort,Person-years of follow-up ranged from 4.5 to 9 years (mean and median = 6.1 years).,,,,
2019-10-29 12:06:53,2019-10-29 12:08:56,IP Address,100,122,True,2019-10-29 12:08:56,R_ZkuR8BakngrvOxz,anonymous,EN-GB,Guo2015bank.015,Physical activity in relation to body size and composition in women in UK Biobank,MG,Yes,Yes,cross-sectional,"Our cross-sectional study included 38,201 premenopausal and 94,592 postmenopausal healthy women aged 40 to 70 years in UK Biobank, recruited from 2006 to 2010.",,,,
2019-10-29 12:08:59,2019-10-29 12:12:15,IP Address,100,196,True,2019-10-29 12:12:15,R_1Eg6zwexnQXuI5M,anonymous,EN-GB,Steel2019ants.003,"Associations of dietary protein intake with bone mineral density: An observational study in 70,215 UK Biobank participants",MG,Yes,Yes,cross-sectional,"Because of the cross-sectional nature of this study we were unable to determine the temporal relationships between diet and BMD and, as with any observational study, association may not necessarily infer causation.",,,,
2019-10-29 12:12:17,2019-10-29 12:14:36,IP Address,100,138,True,2019-10-29 12:14:36,R_2q918Wm3PLBz9SV,anonymous,EN-GB,Littl2016arch.010,Lifestyle factors and prostate-specific antigen (PSA) testing in UK Biobank: Implications for epidemiological research,MG,Yes,Not present,cross-sectional,"The cross-sectional association between a wide range of sociodemographic, lifestyle, dietary and health characteristics with PSA testing was examined in 212,039 men aged 40–69 years in UK Biobank.",,,,
2019-10-29 12:14:39,2019-10-29 12:17:17,IP Address,100,158,True,2019-10-29 12:17:17,R_1pnylo5orUzawy8,anonymous,EN-GB,Kunzm2018noma.014,Model for Identifying Individuals at Risk for Esophageal Adenocarcinoma,MG,Yes,Yes,cohort,"This cohort study used prospective data from the UK Biobank, which recruited 502,640 men and women aged 40–69 years from 1 of 22 centers located across England, Scotland, and Wales between 2006 and 2010.",,,,
2019-10-29 12:17:26,2019-10-29 12:22:17,IP Address,100,291,True,2019-10-29 12:22:18,R_2Cq9jQ0u3BT2nKi,anonymous,EN-GB,Ander2018ysis.022,Red and processed meat consumption and breast cancer: UK Biobank cohort study and meta-analysis,MG,Yes,Yes,cohort,"Over a median of 7 years follow-up, 4819 of the 262,195 women developed breast cancer.",,,,
2019-10-29 12:22:25,2019-10-29 12:26:13,IP Address,100,228,True,2019-10-29 12:26:13,R_2ePDfKiDrYoxRAA,anonymous,EN-GB,Sarka2017bank.016,Residential greenness and adiposity: Findings from the UK Biobank,MG,Yes,Yes,cross-sectional,"This was a population based cross-sectional study of 333,183 participants aged 38–73 years with individual-level data on residential greenness and built environment exposures.",,,,
2019-10-29 12:26:37,2019-10-29 12:27:57,IP Address,100,79,True,2019-10-29 12:27:57,R_UirxkgYJj9Pmruh,anonymous,EN-GB,Culle2015ants.006,"Cognitive function and lifetime features of depression and bipolar disorder in a large population sample: Cross-sectional study of 143,828 UK Biobank participants",MG,Yes,Yes,cross-sectional,"Cognitive function and lifetime features of depression and bipolar disorder in a large population sample: Cross-sectional study of 143,828 UK Biobank participants",,,,
2019-10-29 12:28:01,2019-10-29 12:33:13,IP Address,100,311,True,2019-10-29 12:33:13,R_3fq4TZjpM9E1PJs,anonymous,EN-GB,Navra2017orts.012,Intelligence and neuroticism in relation to depression and psychological distress: Evidence from two large population cohorts,MG,Yes,Yes,cross-sectional,"The cross-sectional associations between neuroticism, general intelligence (g), MDD, self-reported depression, and psychological distress were examined in two large population based cohorts; GS:SFHS and UK Biobank. ",,,,
2019-10-29 12:33:17,2019-10-29 14:14:15,IP Address,100,6058,True,2019-10-29 14:14:15,R_2aVQFjvV0PBGtkW,anonymous,EN-GB,Day2015tudy0031,"Season of birth is associated with birth weight, pubertal timing, adult body size and educational attainment: a UK Biobank study",MG,Yes,Not present,no_statement,,cross-sectional,,The exposure is birth season (four) and not the presence of a disease or behaviour. (I don't have a clue what design this is),
2019-10-29 14:14:17,2019-10-29 14:32:13,IP Address,100,1075,True,2019-10-29 14:32:13,R_3J8EG3P7C5zNT7g,anonymous,EN-GB,Sarka2018ants.009,"Neighbourhood walkability and incidence of hypertension: Findings from the study of 429,334 UK Biobank participants",MG,Yes,Not present,no_statement,,"cross-sectional,cohort",,There is no case-control design and they analysed with and without follow ups,
2019-10-29 14:32:17,2019-10-29 14:37:53,IP Address,100,336,True,2019-10-29 14:37:53,R_3HSUyH24ZJtE7nj,anonymous,EN-GB,Yates2018tudy.006,"Reaction time, cardiorespiratory fitness and mortality in UK Biobank: An observational study",MG,Yes,Yes,no_statement,,cohort,,"Over 5.8 years of follow-up, there were 779 deaths.",
2019-10-29 14:37:58,2019-10-29 14:42:37,IP Address,100,278,True,2019-10-29 14:42:37,R_ZsYlr8wzHoDepA5,anonymous,EN-GB,Lyall2018hort.106,Seasonality of depressive symptoms in women but not in men: A cross-sectional study in the UK Biobank cohort,MG,Yes,Yes,cross-sectional,Seasonality of depressive symptoms in women but not in men: A cross-sectional study in the UK Biobank cohort,,,,
2019-10-29 14:42:39,2019-10-29 14:55:14,IP Address,100,755,True,2019-10-29 14:55:14,R_3EihI6yWKBzeAm1,anonymous,EN-GB,Cleut2014bank.007,Cognitive functioning in obstructive lung disease: results from the United Kingdom biobank,MG,Yes,Yes,no_statement,,case-control,,comparing people with Obstructive Lung Disease and people without on exposures,
2019-10-29 14:55:17,2019-10-29 14:57:24,IP Address,100,126,True,2019-10-29 14:57:24,R_29gEVpEYDgmS6OQ,anonymous,EN-GB,Cumbe2015omes.040,"Laser refractive surgery in the UK Biobank study: Frequency, distribution by sociodemographic factors, and general health, happiness, and social participation outcomes",MG,Yes,Not present,cross-sectional,Cross-sectional epidemiological study.,,,,
2019-10-29 14:57:29,2019-10-29 15:00:25,IP Address,100,176,True,2019-10-29 15:00:25,R_3NR6YMhDrSLELoR,anonymous,EN-GB,McCor2014tion.018,The prevalence of tinnitus and the relationship with neuroticism in a middle-aged UK population,MG,Yes,Not present,no_statement,,cross-sectional,,"we calculated the prevalence of tinnitus and that which is perceived as bothersome, and examined the association between tinnitus and a putative predisposing personality factor, neuroticism.",
2019-10-29 15:00:28,2019-10-29 15:05:49,IP Address,100,320,True,2019-10-29 15:05:49,R_2SBOBUnGpiSID8a,anonymous,EN-GB,Pan2019tudy.008,Association between musculoskeletal pain at multiple sites and objectively measured physical activity and work capacity: Results from UK Biobank study,MG,Yes,Not present,cross-sectional,To describe the cross-sectional association between musculoskeletal pain at multiple sites and physical work capacity (PWC) and objectively measured physical activity (PA).,,,,
2019-10-29 15:05:51,2019-10-29 15:22:17,IP Address,100,986,True,2019-10-29 15:22:18,R_3IVMvcy736L3ocD,anonymous,EN-GB,Zemed2018Data.012,Patterns of Multimorbidity in Middle-Aged and Older Adults: An Analysis of the UK Biobank Data,MG,Yes,Yes,no_statement,,cross-sectional,,"due to the cross-sectional nature of the data, the study cannot establish any causal links between conditions",
2019-10-29 15:22:39,2019-10-29 15:27:00,IP Address,100,261,True,2019-10-29 15:27:00,R_3shp75qaqVtA6UV,anonymous,EN-GB,Dhalw2018tudy.007,Body mass index and mortality in people with and without diabetes: A UK Biobank study,MG,Yes,Yes,no_statement,,cohort,,We used age as time scale and Cox-proportional hazards model to calculate hazard ratios (HRs) for mortality with 95% confidence intervals (95% CI) within BMI categories in people with and without diabetes adjusting for the potential confounders described above.,
2019-10-29 15:27:38,2019-10-29 15:29:38,IP Address,100,120,True,2019-10-29 15:29:38,R_1FlaSs4f2pDHZn7,anonymous,EN-GB,Chan2016bank.031,Associations with Intraocular Pressure in a Large Cohort: Results from the UK Biobank,MG,Yes,Yes,cross-sectional,Cross-sectional study within the UK Biobank,,,,
2019-10-29 15:29:40,2019-10-29 15:31:31,IP Address,100,111,True,2019-10-29 15:31:31,R_3DuvFfJcZfu42q9,anonymous,EN-GB,Olivo2019tudy.014,Low neuroticism and cognitive performance are differently associated to overweight and obesity: A cross-sectional and longitudinal UK Biobank study,MG,Yes,Not present,"cohort,cross-sectional",Low neuroticism and cognitive performance are differently associated to overweight and obesity: A cross-sectional and longitudinal UK Biobank study,,,,
2019-10-29 15:31:34,2019-10-29 15:32:53,IP Address,100,79,True,2019-10-29 15:32:53,R_ULycNE6KvPPkNvH,anonymous,EN-GB,Kyle2017bank.001,Sleep and cognitive performance: cross-sectional associations in the UK Biobank,MG,Yes,Yes,cross-sectional,Sleep and cognitive performance: cross-sectional associations in the UK Biobank,,,,
2019-10-29 15:32:56,2019-10-29 15:34:22,IP Address,100,86,True,2019-10-29 15:34:22,R_vGKi1lxmnM5Df5n,anonymous,EN-GB,Knott2018bank.018,Changes in the mode of travel to work and the severity of depressive symptoms: a longitudinal analysis of UK Biobank,MG,Yes,Yes,cohort,Changes in the mode of travel to work and the severity of depressive symptoms: a longitudinal analysis of UK Biobank,,,,
2019-10-29 15:34:28,2019-10-29 15:37:12,IP Address,100,164,True,2019-10-29 15:37:12,R_bsyunfvLXMpYFQR,anonymous,EN-GB,Smith2019bank.024,Characteristics of the environment and physical activity in midlife: Findings from UK Biobank,MG,Yes,Yes,cross-sectional,"Cross-sectional data were used from the UK Biobank study, collected from 502,656 participants aged 37–73 years at recruitment. ",,,,
2019-10-29 15:37:48,2019-10-29 15:42:40,IP Address,100,292,True,2019-10-29 15:42:40,R_20OK1QpHxVvqv73,anonymous,EN-GB,Ingel2015tudy75-1,"5 year mortality predictors in 498,103 UK Biobank participants: a prospective population-based study",MG,Yes,Yes,cohort,5 year mortality predictors in 498 103 UK Biobank participants: a prospective population-based study,,,,
2019-10-29 15:42:44,2019-10-29 15:49:24,IP Address,100,400,True,2019-10-29 15:49:25,R_eVf8E5z8zepgAjD,anonymous,EN-GB,Cummi2016bank53-X,"Active commuting and obesity in mid-life: cross-sectional, observational evidence from UK Biobank",MG,Yes,Not present,cross-sectional,"Active commuting and obesity in mid-life: cross-sectional, observational evidence from UK Biobank",,,,
2019-10-29 15:49:27,2019-10-29 15:51:33,IP Address,100,125,True,2019-10-29 15:51:33,R_VJqjhTPe6nQOsUh,anonymous,EN-GB,Lyall2018bank39-1,"Association of disrupted circadian rhythmicity with mood disorders, subjective wellbeing, and cognitive function: a cross-sectional study of 91 105 participants from the UK Biobank",MG,Yes,Yes,cross-sectional,"Association of disrupted circadian rhythmicity with mood disorders, subjective wellbeing, and cognitive function: a cross-sectional study of 91 105 participants from the UK Biobank",,,,
2019-10-29 15:52:19,2019-10-29 15:53:18,IP Address,100,58,True,2019-10-29 15:53:18,R_3NJo8wZNfYEl2Kc,anonymous,EN-GB,Flint2016bank06-8,"Change in commute mode and body-mass index: prospective, longitudinal evidence from UK Biobank",MG,Yes,Not present,cohort,"Change in commute mode and body-mass index: prospective, longitudinal evidence from UK Biobank",,,,
2019-10-29 15:53:24,2019-10-29 15:54:46,IP Address,100,82,True,2019-10-29 15:54:46,R_31gUjQNa5VRi5FU,anonymous,EN-GB,Elova2017tudy75-0,Contribution of risk factors to excess mortality in isolated and lonely individuals: an analysis of data from the UK Biobank cohort study,MG,Yes,Yes,cohort,We used prospective follow-up data from the UK Biobank cohort study to assess self-reported isolation (a three-item scale) and loneliness (two questions).,,,,
2019-10-29 15:54:49,2019-10-29 15:56:14,IP Address,100,84,True,2019-10-29 15:56:14,R_1jxGjuNsVl7kn0J,anonymous,EN-GB,Mason2018bank12-8,"Associations between fast food and physical activity environments and adiposity in mid-life: cross-sectional, observational evidence from UK Biobank",MG,Yes,Yes,cohort,"Associations between fast food and physical activity environments and adiposity in mid-life: cross-sectional, observational evidence from UK Biobank",,,,
2019-10-29 15:56:24,2019-10-29 15:58:21,IP Address,100,116,True,2019-10-29 15:58:21,R_1pXY48pxRVvc9Zg,anonymous,EN-GB,Hanlo2018ants91-4,Frailty and pre-frailty in middle-aged and older adults and its association with multimorbidity and mortality: a prospective analysis of 493 737 UK Biobank participants,MG,Yes,Yes,cohort,"This was a prospective, population-based cohort study of participants enrolled in the UK Biobank.",,,,
2019-11-07 10:58:36,2019-11-07 11:02:50,IP Address,100,254,True,2019-11-07 11:02:50,R_2q3hrWQ1TgevBDl,anonymous,EN-GB,Foste2018hort00-7,The effect of socioeconomic deprivation on the association between an extended measurement of unhealthy lifestyle factors and health outcomes: a prospective analysis of the UK Biobank cohort,MG,Yes,Yes,cohort,"This was a prospective, population-based cohort study of participants enrolled in the UK Biobank.",,,,
2019-11-07 11:03:10,2019-11-07 11:04:44,IP Address,100,93,True,2019-11-07 11:04:45,R_3DokejVcHOmN7qo,anonymous,EN-GB,Sarka2017ants19-5,"Association between adiposity outcomes and residential density: a full-data, cross-sectional analysis of 419<U+2008>562 UK Biobank adult participants",MG,Yes,Yes,cross-sectional,"For this full-data, cross-sectional analysis, we used UK Biobank data for adult men and women aged 37–73 years from 22 cities across the UK.",,,,
2019-11-07 11:04:48,2019-11-07 11:07:57,IP Address,100,188,True,2019-11-07 11:07:58,R_1pVwEoA3yWPloKR,anonymous,EN-GB,Sarka2018ants51-2,"Residential greenness and prevalence of major depressive disorders: a cross-sectional, observational, associational study of 94 879 adult UK Biobank participants",MG,Yes,Yes,cross-sectional,"In this cross-sectional, observational, associational study, we used baseline data from the UK Biobank cohort of participants aged 37–73 years from across the UK.",,,,
2019-11-07 11:08:24,2019-11-07 11:11:25,IP Address,100,180,True,2019-11-07 11:11:25,R_phJ3lBP1CB8xP33,anonymous,EN-GB,Sarka2018ants08-0,Are exposures to ready-to-eat food environments associated with type 2 diabetes? A cross-sectional study of 347 551 UK Biobank adult participants,MG,Yes,Yes,cross-sectional,We conducted a cross-sectional study of adult male and female participants from the baseline phase of the UK Biobank cohort.,,,,
2019-11-07 11:11:30,2019-11-07 11:16:08,IP Address,100,278,True,2019-11-07 11:16:09,R_2nqZMiyjdCZ3nSV,anonymous,EN-GB,Darli2018hort1404,"Vitamin D supplement use and associated demographic, dietary and lifestyle factors in 8024 South Asians aged 40-69 years: analysis of the UK Biobank cohort",MG,Yes,Yes,cross-sectional,Design: Cross-sectional analysis of baseline vitamin D supplement use data.,,,,
2019-11-07 11:17:03,2019-11-07 11:20:21,IP Address,100,197,True,2019-11-07 11:20:21,R_2U5vYvs4O940F1k,anonymous,EN-GB,Perez2017tudy.312,Prospective investigation of risk factors for prostate cancer in the UK Biobank cohort study,MG,Yes,Yes,cohort,Prospective investigation of risk factors for prostate cancer in the UK Biobank cohort study,,,,
2019-11-07 11:20:24,2019-11-07 11:33:41,IP Address,100,797,True,2019-11-07 11:33:42,R_Y3mHTm2tqnB0Ygx,anonymous,EN-GB,Usher2018bank.463,External validation of risk prediction models for incident colorectal cancer using UK Biobank,MG,Yes,Yes,no_statement,,cohort,,External validation of fourteen risk models from a previous systematic review in 373 112 men and women within the UK Biobank cohort with 5-year follow-up,
2019-11-07 11:33:48,2019-11-07 11:37:35,IP Address,100,226,True,2019-11-07 11:37:35,R_DUIcSJJfFgcpZfj,anonymous,EN-GB,Morri2018bank.496,"Physical activity, sedentary behaviour and colorectal cancer risk in the UK Biobank",MG,Yes,Yes,no_statement,,cohort,,"After a median follow-up time of 5.6 years, 2391 incident colorectal cancer cases were recorded.",
2019-11-07 11:38:08,2019-11-07 11:48:15,IP Address,100,607,True,2019-11-07 11:48:15,R_1eUwZNC30f5fZLi,anonymous,EN-GB,Shwei2015hort.157,Measures of socioeconomic status and self-reported glaucoma in the U.K. Biobank cohort,MG,Yes,Not present,no_statement,,cross-sectional,,The UK Biobank study is a voluntary multisite cross-sectional study of 502 656 UK residents aged 40–69 years who were registered with the National Health Service living within 25 miles from any of the 22 study assessment centres.,
