title,source,doi
Dissecting the genetic relationship between cardiovascular risk factors and Alzheimer's disease,Embase - exported 15/01/19,10.1007/s00401-018-1928-6
The Right to Know and the Right Not to Know Revisited: Part One,PubMed - exported 15/01/19,10.1007/s41649-017-0012-1
"Examining the interaction of fast-food outlet exposure and income on diet and obesity: evidence from 51,361 UK Biobank participants",PubMed - exported 15/01/19,10.1186/s12966-018-0699-8
The UK Biobank resource with deep phenotyping and genomic data,Embase - exported 15/01/19,10.1038/s41586-018-0579-z
Performance of gout definitions for genetic epidemiological studies: analysis of UK Biobank,PubMed - exported 15/01/19,10.1186/s13075-017-1390-1
Association of interleukin 6 receptor variant with cardiovascular disease effects of interleukin 6 receptor blocking therapy: A phenome - Wide association study,Embase - exported 15/01/19,http://dx.doi.org/10.1001/jamacardio.2018.2287
"Road traffic noise, air pollution and incident cardiovascular disease: A joint analysis of the HUNT, EPIC-Oxford and UK Biobank cohorts",Embase - exported 15/01/19,10.1016/j.envint.2018.02.048
"Ambient air pollution, traffic noise and adult asthma prevalence: a BioSHaRE approach",PubMed - exported 15/01/19,10.1183/13993003.02127-2015
"Lateral thinking - Interocular symmetry and asymmetry in neurovascular patterning, in health and disease",WoSCC - exported 15/01/19,10.1016/j.preteyeres.2017.04.003
Improved Genetic Profiling of Anthropometric Traits Using a Big Data Approach,Embase - exported 15/01/19,10.1371/journal.pone.0166755
An atlas of genetic associations in UK Biobank,Embase - exported 15/01/19,10.1038/s41588-018-0248-z
"The Public Interest, Public Goods, and Third-Party Access to UK Biobank",Embase - exported 15/01/19,10.1093/phe/phs017
Models of biobanks and implications for reproductive health innovation,Embase - exported 15/01/19,10.1007/s40592-015-0042-y
One Health and paradigms of public biobanking,PsycINFO - exported 15/01/19,10.1136/medethics-2013-101828
Towards the Semantic Enrichment of Free-Text Annotation of Image Quality Assessment for UK Biobank Cardiac Cine MRI Scans,WoSCC - exported 15/01/19,https://doi.org/10.1007/978-3-319-46976-8_25
The Organization of Working Memory Networks is Shaped by Early Sensory Experience,PsycINFO - exported 15/01/19,10.1093/cercor/bhx222
Role of obesity in smoking behaviour: Mendelian randomisation study in UK Biobank,PubMed - exported 15/01/19,10.1136/bmj.k1767
A novel variant in GLIS3 is associated with osteoarthritis,Embase - exported 15/01/19,10.1136/annrheumdis-2017-211848
"Cross-sectional study of diet, physical activity, television viewing and sleep duration in 233,110 adults from the UK Biobank; the behavioural phenotype of cardiovascular disease and type 2 diabetes",PubMed - exported 15/01/19,10.1136/bmjopen-2015-010038
"Low physical activity, high television viewing and poor sleep duration cluster in overweight and obese adults; a cross-sectional study of 398,984 participants from the UK Biobank",PsycINFO - exported 15/01/19,10.1186/s12966-017-0514-y
"Accelerometer-derived physical activity in those with cardio-metabolic disease compared to healthy adults: a UK Biobank study of 52,556 participants",Embase - exported 15/01/19,10.1007/s00592-018-1161-8
"The cardio-metabolic impact of taking commonly prescribed analgesic drugs in 133,401 UK Biobank participants",PubMed - exported 15/01/19,10.1371/journal.pone.0187982
Walking Pace Is Associated with Lower Risk of All-Cause and Cause-Specific Mortality,PubMed - exported 15/01/19,10.1249/MSS.0000000000001795
"Association between active commuting and incident cardiovascular disease, cancer, and mortality: prospective cohort study",PubMed - exported 15/01/19,10.1136/bmj.j1456
The association between physical activity and risk of mortality is modulated by grip strength and cardiorespiratory fitness: evidence from 498 135 UK-Biobank participants,Embase - exported 15/01/19,10.1093/eurheartj/ehw249
Dietary fat and total energy intake modifies the association of genetic profile risk score on obesity: evidence from 48 170 UK Biobank participants,Embase - exported 15/01/19,10.1038/ijo.2017.169
"Associations of discretionary screen time with mortality, cardiovascular disease and cancer are attenuated by strength, fitness and physical activity: findings from the UK Biobank study",PubMed - exported 15/01/19,10.1186/s12916-018-1063-1
"Associations Between Diabetes and Both Cardiovascular Disease and All-Cause Mortality Are Modified by Grip Strength: Evidence From UK Biobank, a Prospective Population-Based Cohort Study",Embase - exported 15/01/19,10.2337/dc17-0921
"Associations of Dietary Protein Intake With Fat-Free Mass and Grip Strength: A Cross-Sectional Study in 146,816 UK Biobank Participants",Embase - exported 15/01/19,10.1093/aje/kwy134
"Associations of grip strength with cardiovascular, respiratory, and cancer outcomes and all cause mortality: prospective cohort study of half a million UK Biobank participants",PubMed - exported 15/01/19,10.1136/bmj.k1651
"Sleep characteristics modify the association of genetic predisposition with obesity and anthropometric measurements in 119,679 UK Biobank participants",Embase - exported 15/01/19,10.3945/ajcn.116.147231
Marking Shifts in Human Research Ethics in the Development of Biobanking,WoSCC - exported 15/01/19,10.1093/phe/phu023
Associations with Intraocular Pressure in a Large Cohort: Results from the UK Biobank,Embase - exported 15/01/19,10.1016/j.ophtha.2015.11.031
Extracting stability increases the SNP heritability of emotional problems in young people,WoSCC - exported 15/01/19,10.1038/s41398-018-0269-5
Governing International Biobank Collaboration: A Case Study of China Kadoorie Biobank,WoSCC - exported 15/01/19,10.1177/0971721813498497
On a geometric realization of C*-algebras,WoSCC - exported 15/01/19,10.1007/s11464-014-0317-2
Functional Connectivities in the Brain That Mediate the Association Between Depressive Problems and Sleep Quality,Embase - exported 15/01/19,10.1001/jamapsychiatry.2018.1941
Association Between Titin Loss-of-Function Variants and Early-Onset Atrial Fibrillation,Embase - exported 15/01/19,10.1001/jama.2018.18179
Keratinocyte growth factor and the expression of wound-healing-related genes in primary human keratinocytes from burn patients,Embase - exported 15/01/19,10.1590/S0102-865020160080000002
A multiethnic genome-wide association study of primary open-angle glaucoma identifies novel risk loci,PubMed - exported 15/01/19,10.1038/s41467-018-04555-4
Burden of carotid artery atherosclerosis in Chinese adults: Implications for future risk of cardiovascular diseases,Embase - exported 15/01/19,10.1177/2047487317689973
Genome-Wide Association Studies of Coronary Artery Disease: Recent Progress and Challenges Ahead,WoSCC - exported 15/01/19,10.1007/s11883-018-0748-4
Genome-wide association study of alcohol consumption and genetic overlap with other health-related traits in UK Biobank (N=112 117),Embase - exported 15/01/19,10.1038/mp.2017.153
Cognitive functioning in obstructive lung disease: results from the United Kingdom biobank,Embase - exported 15/01/19,10.1016/j.jamda.2013.12.007
Genome-wide association study for risk taking propensity indicates shared pathways with body mass index,PubMed - exported 15/01/19,10.1038/s42003-018-0042-6
"Protocol and quality assurance for carotid imaging in 100,000 participants of UK Biobank: development and assessment",Embase - exported 15/01/19,https://doi.org/10.1177/2047487317732273
What makes UK Biobank special?,Embase - exported 15/01/19,http://dx.doi.org/10.1016/S0140-6736%2812%2960404-8
Association Between Population Density and Genetic Risk for Schizophrenia,Embase - exported 15/01/19,10.1001/jamapsychiatry.2018.1581
The prevalence of co-morbidities and their impact on physical activity in people with inflammatory rheumatic diseases compared with the general population: results from the UK Biobank,Embase - exported 15/01/19,10.1093/rheumatology/key224
The effect of personalised weight feedback on weight loss and health behaviours: Evidence from a regression discontinuity design,Embase - exported 15/01/19,10.1002/hec.3829
Detaching data from the state: Biobanking and building Big Data in Sweden,WoSCC - exported 15/01/19,10.1057/biosoc.2015.25
Bidirectional association between physical activity and muscular strength in older adults: Results from the UK Biobank study,Embase - exported 15/01/19,10.1093/ije/dyw054
Genome-wide association study of caffeine metabolites provides new insights to caffeine metabolism and dietary caffeine-consumption behavior,Embase - exported 15/01/19,10.1093/hmg/ddw334
Bayesian analysis of genetic association across tree-structured routine healthcare data in the UK Biobank,Embase - exported 15/01/19,10.1038/ng.3926
Reaching for the next branch on the biobank tree of knowledge,Embase - exported 15/01/19,10.1038/ng.3946
"Ageing and brain white matter structure in 3,513 UK Biobank participants",WoSCC - exported 15/01/19,10.1038/ncomms13629
Medical consequences of pathogenic CNVs in adults: analysis of the UK Biobank,Embase - exported 15/01/19,10.1136/jmedgenet-2018-105477
Highlighting relevant concepts from Topic Signatures,WoSCC - exported 15/01/19,
"Cognitive function and lifetime features of depression and bipolar disorder in a large population sample: Cross-sectional study of 143,828 UK Biobank participants",Embase - exported 15/01/19,10.1016/j.eurpsy.2015.08.006
Cross-sectional and longitudinal analyses of outdoor air pollution exposure and cognitive function in UK Biobank,PubMed - exported 15/01/19,10.1038/s41598-018-30568-6
The 'cognitive footprint' of psychiatric and neurological conditions: cross-sectional study in the UK Biobank cohort,Embase - exported 15/01/19,10.1111/acps.12733
Frequency and Distribution of Refractive Error in Adult Life: Methodology and Findings of the UK Biobank Study,PubMed - exported 15/01/19,10.1371/journal.pone.0139780
"Laser refractive surgery in the UK Biobank study: Frequency, distribution by sociodemographic factors, and general health, happiness, and social participation outcomes",Embase - exported 15/01/19,10.1016/j.jcrs.2015.05.040
Accuracy and Utility of Self-report of Refractive Error,Embase - exported 15/01/19,10.1001/jamaophthalmol.2016.1275
"Visual Function, Social Position, and Health and Life Chances: The UK Biobank Study",Embase - exported 15/01/19,10.1001/jamaophthalmol.2016.1778
H3Africa and the African life sciences ecosystem: building sustainable innovation,WoSCC - exported 15/01/19,10.1089/omi.2014.0145
The Contribution of Neanderthals to Phenotypic Variation in Modern Humans,Embase - exported 15/01/19,10.1016/j.ajhg.2017.09.010
"Relationship between smoking and obesity: a cross-sectional study of 499,504 middle-aged adults in the UK general population",PubMed - exported 15/01/19,10.1371/journal.pone.0123579
"Vitamin D supplement use and associated demographic, dietary and lifestyle factors in 8024 South Asians aged 40-69 years: analysis of the UK Biobank cohort",PubMed - exported 15/01/19,10.1017/S1368980018001404
"Study of 300,486 individuals identifies 148 independent genetic loci influencing general cognitive function",PubMed - exported 15/01/19,10.1038/s41467-018-04362-x
Genome-wide association study of cognitive functions and educational attainment in UK Biobank (N=112 151),Embase - exported 15/01/19,10.1038/mp.2016.45
The Causal Effects of Education on Health Outcomes in the UK Biobank,PubMed - exported 15/01/19,10.1038/s41562-017-0279-y
Using data linkage to electronic patient records to assess the validity of selected mental health diagnoses in English Hospital Episode Statistics (HES),PubMed - exported 15/01/19,10.1371/journal.pone.0195002
"Mental health in UK Biobank: development, implementation and results from an online questionnaire completed by 157 366 participants",Embase - exported 15/01/19,10.1192/bjo.2018.12
"Cigarette smoking, passive smoking, alcohol consumption, and hearing loss",Embase - exported 15/01/19,10.1007/s10162-014-0461-0
"The Effect of Prenatal and Childhood Development on Hearing, Vision and Cognition in Adulthood",PubMed - exported 15/01/19,10.1371/journal.pone.0136590
Vision impairment and dual sensory problems in middle age,Embase - exported 15/01/19,10.1111/opo.12138
"Hearing loss and cognition: the role of hearing AIDS, social isolation and depression",PubMed - exported 15/01/19,10.1371/journal.pone.0119616
Hearing in middle age: a population snapshot of 40- to 69-year olds in the United Kingdom,Embase - exported 15/01/19,10.1097/AUD.0000000000000010
"Puberty timing associated with diabetes, cardiovascular disease and also diverse health outcomes in men and women: the UK Biobank study",Embase - exported 15/01/19,10.1038/srep11208
"Season of birth is associated with birth weight, pubertal timing, adult body size and educational attainment: a UK Biobank study",PubMed - exported 15/01/19,10.1016/j.heliyon.2015.e00031
Physical and neurobehavioral determinants of reproductive onset and success,Embase - exported 15/01/19,10.1038/ng.3551
Elucidating the genetic basis of social interaction and isolation,PubMed - exported 15/01/19,10.1038/s41467-018-04930-1
European perspectives on big data applied to health: The case of biobanks and human databases,Embase - exported 15/01/19,10.1111/dewb.12208
Conditional and interaction gene-set analysis reveals novel functional pathways for blood pressure,PubMed - exported 15/01/19,10.1038/s41467-018-06022-6
Occupations associated with COPD risk in the large population-based UK Biobank cohort study,Embase - exported 15/01/19,10.1136/oemed-2015-103406
Occupational self-coding automatic recording (OSCAR): A novel web-based tool to collect and code lifetime job histories in large population-based studies,Embase - exported 15/01/19,http://dx.doi.org/10.5271/sjweh.3613
"Biobanking past, present and future: responsibilities and benefits",WoSCC - exported 15/01/19,10.1097/QAD.0b013e32835c1244
Genetic contributions to self-reported tiredness,Embase - exported 15/01/19,10.1038/mp.2017.5
"Medical relevance of protein-truncating variants across 337,205 individuals in the UK Biobank study",PubMed - exported 15/01/19,10.1038/s41467-018-03910-9
Data resource profile: cardiovascular disease research using linked bespoke studies and electronic health records (CALIBER),Embase - exported 15/01/19,10.1093/ije/dys188
"Number of incident cases of the main eye diseases of ageing in the UK Biobank cohort, projected over a 25-year period from time of recruitment",Embase - exported 15/01/19,10.1136/bjophthalmol-2017-311289
Body mass index and mortality in people with and without diabetes: A UK Biobank study,Embase - exported 15/01/19,10.1016/j.numecd.2018.07.007
"[Association of physical inactivity with obesity, diabetes, hypertension and metabolic syndrome in the chilean population]",WoSCC - exported 15/01/19,10.4067/s0034-98872018000500585
Phenome-wide association studies across large population cohorts support drug target validation,Embase - exported 15/01/19,10.1038/s41467-018-06540-3
Genetic instrumental variable regression: Explaining socioeconomic and health outcomes in nonexperimental data,Embase - exported 15/01/19,10.1073/pnas.1707388115
The Association Between Adiposity and Inpatient Hospital Costs in the UK Biobank Cohort,Embase - exported 15/01/19,10.1007/s40258-018-0450-2
"Polygenic prediction of the phenome, across ancestry, in emerging adulthood",WoSCC - exported 15/01/19,10.1017/S0033291717003312
Large Scale Population Assessment of Physical Activity Using Wrist Worn Accelerometers: The UK Biobank Study,PubMed - exported 15/01/19,10.1371/journal.pone.0169649
GWAS identifies 14 loci for device-measured physical activity and sleep duration,PubMed - exported 15/01/19,10.1038/s41467-018-07743-4
Residential Air Pollution and Associations with Wheeze and Shortness of Breath in Adults: A Combined Analysis of Cross-Sectional Data from Two Large European Cohorts,PubMed - exported 15/01/19,10.1289/EHP1353
Transport mode choice and body mass index: Cross-sectional and longitudinal evidence from a European-wide study,WoSCC - exported 15/01/19,10.1016/j.envint.2018.06.023
Power to the people: a wiki-governance model for biobanks,WoSCC - exported 15/01/19,10.1186/gb-2012-13-5-158
Arterial stiffness association with chronic inflammatory disorders in the UK Biobank study,Embase - exported 15/01/19,10.1136/heartjnl-2017-312610
Cardiovascular and type 2 diabetes morbidity and all-cause mortality among diverse chronic inflammatory disorders,Embase - exported 15/01/19,10.1136/heartjnl-2017-311214
Association of Polygenic Risk for Attention-Deficit/Hyperactivity Disorder With Co-occurring Traits and Disorders,Embase - exported 15/01/19,10.1016/j.bpsc.2017.11.013
Visualization of Cancer and Cardiovascular Disease Co-Occurrence With Network Methods,Embase - exported 15/01/19,10.1200/CCI.16.00071
Assessing the causal association between 25-hydroxyvitamin D and the risk of oral and oropharyngeal cancer using Mendelian randomization,Embase - exported 15/01/19,10.1002/ijc.31377
Algorithms for the Capture and Adjudication of Prevalent and Incident Diabetes in UK Biobank,PubMed - exported 15/01/19,10.1371/journal.pone.0162388
A method to customize population-specific arrays for genome-wide association testing,Embase - exported 15/01/19,10.1038/ejhg.2016.152
Patient Satisfaction as a Measure of Quality of Patient Care - Comparison between a University Hospital and a General Hospital,PubMed - exported 15/01/19,10.1055/s-0041-110528
Genome-wide association studies of brain imaging phenotypes in UK Biobank,Embase - exported 15/01/19,10.1038/s41586-018-0571-7
How does susceptibility to proactive interference relate to speech recognition in aided and unaided conditions?,PsycINFO - exported 15/01/19,10.3389/fpsyg.2015.01017
Contribution of risk factors to excess mortality in isolated and lonely individuals: an analysis of data from the UK Biobank cohort study,Embase - exported 15/01/19,10.1016/S2468-2667(17)30075-0
Healthy living and cancer: evidence from UK Biobank,PubMed - exported 15/01/19,10.3332/ecancer.2018.792
Phenotypic Characterization of Genetically Lowered Human Lipoprotein(a) Levels,Embase - exported 15/01/19,10.1016/j.jacc.2016.10.033
"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease",Embase - exported 15/01/19,10.1001/jama.2016.21042
"Genetic Variation at the Sulfonylurea Receptor, Type 2 Diabetes, and Coronary Heart Disease",Embase - exported 15/01/19,10.2337/db17-0149
Phenotypic Consequences of a Genetic Predisposition to Enhanced Nitric Oxide Signaling,Embase - exported 15/01/19,10.1161/CIRCULATIONAHA.117.028021
Analysis of predicted loss-of-function variants in UK Biobank identifies variants protective for disease,PubMed - exported 15/01/19,10.1038/s41467-018-03911-8
DNA Sequence Variation in ACVR1C Encoding the Activin Receptor-Like Kinase 7 Influences Body Fat Distribution and Protects Against Type 2 Diabetes,Embase - exported 15/01/19,10.2337/db18-0857
Association of Cardiometabolic Multimorbidity With Mortality,Embase - exported 15/01/19,10.1001/jama.2015.7008
Birth weight variants are associated with variable fetal intrauterine growth from 20 weeks of gestation,PubMed - exported 15/01/19,10.1038/s41598-018-26752-3
Identification of genomic loci associated with resting heart rate and shared genetic predictors with all-cause mortality,WoSCC - exported 15/01/19,10.1038/ng.3708
"Meta-analysis of up to 622,409 individuals identifies 40 novel smoking behaviour associated genetic loci",PubMed - exported 15/01/19,10.1038/s41380-018-0313-0
Genetic liability to schizophrenia is negatively associated with educational attainment in UK Biobank,PubMed - exported 15/01/19,10.1038/s41380-018-0328-6
The Relationship Between Common Variant Schizophrenia Liability and Number of Offspring in the UK Biobank,PubMed - exported 15/01/19,10.1176/appi.ajp.2018.18020140
Polygenic risk for schizophrenia and season of birth within the UK Biobank cohort,PsycINFO - exported 15/01/19,10.1017/S0033291718000454
Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits,WoSCC - exported 15/01/19,10.1038/s41588-018-0205-x
Comparison of methods that use whole genome data to estimate the heritability and genetic architecture of complex traits,WoSCC - exported 15/01/19,10.1038/s41588-018-0108-x
Narrow-sense heritability estimation of complex traits using identity-by-descent information,Embase - exported 15/01/19,10.1038/s41437-018-0067-0
Patterns and correlates of active commuting in adults with type 2 diabetes: cross-sectional evidence from UK Biobank,PubMed - exported 15/01/19,10.1136/bmjopen-2017-017132
Genome-wide association study of coronary artery disease among individuals with diabetes: the UK Biobank,Embase - exported 15/01/19,10.1007/s00125-018-4686-z
Neutrophil-mediated IL-6 receptor trans-signaling and the risk of chronic obstructive pulmonary disease and asthma,Embase - exported 15/01/19,10.1093/hmg/ddx053
"Genome-Wide Association Study of Circadian Rhythmicity in 71,500 UK Biobank Participants and Polygenic Association with Mood Instability",Embase - exported 15/01/19,10.1016/j.ebiom.2018.08.004
Men across a range of ethnicities have a higher prevalence of diabetes: findings from a cross-sectional study of 500 000 UK Biobank participants,Embase - exported 15/01/19,10.1111/dme.13551
Cost-effectiveness of the polypill versus risk assessment for prevention of cardiovascular disease,PubMed - exported 15/01/19,10.1136/heartjnl-2016-310529
Eleven loci with new reproducible genetic associations with allergic disease risk,Embase - exported 15/01/19,10.1016/j.jaci.2018.03.012
Heritability enrichment of specifically expressed genes identifies disease-relevant tissues and cell types,Embase - exported 15/01/19,10.1038/s41588-018-0081-4
Association Between Muscular Strength and Cognition in People With Major Depression or Bipolar Disorder and Healthy Controls,Embase - exported 15/01/19,10.1001/jamapsychiatry.2018.0503
Grip Strength Is Associated With Cognitive Performance in Schizophrenia and the General Population: A UK Biobank Study of 476559 Participants,Embase - exported 15/01/19,10.1093/schbul/sby034
The Validity and Value of Self-reported Physical Activity and Accelerometry in People With Schizophrenia: A Population-Scale Study of the UK Biobank,Embase - exported 15/01/19,10.1093/schbul/sbx149
"Active commuting and obesity in mid-life: Cross-sectional, observational evidence from UK Biobank",Embase - exported 15/01/19,https://doi.org/10.1016/S2213-8587(16)00053-X
"Change in commute mode and body-mass index: prospective, longitudinal evidence from UK Biobank",Embase - exported 15/01/19,10.1016/S2468-2667(16)30006-8
The effect of socioeconomic deprivation on the association between an extended measurement of unhealthy lifestyle factors and health outcomes: a prospective analysis of the UK Biobank cohort,Embase - exported 15/01/19,10.1016/S2468-2667(18)30200-7
