design.kd,design.mg,article_id,title.kd,initials.kd,access_article.kd,access_supp.kd,design_ev.kd,design_judg_4_TEXT.kd,design_judg_rat.kd,comments.kd,title.mg,initials.mg,access_article.mg,access_supp.mg,design_ev.mg,design_judg_4_TEXT.mg,design_judg_rat.mg,comments.mg,Becky?,correct_design
case-control,cohort,McMen2018bank1375,Hormonal and reproductive factors and risk of upper gastrointestinal cancers in men: A prospective cohort study within the UK Biobank,kd,Yes,Not present,NA,NA,Investigated associations between hormonal and reproductive factors and risk of oesophageal and gastric cancer over time,NA,Hormonal and reproductive factors and risk of upper gastrointestinal cancers in men: A prospective cohort study within the UK Biobank,mg,Yes,Not present,Hormonal and reproductive factors and risk of upper gastrointestinal cancers in men: A prospective cohort study within the UK Biobank,NA,NA,NA,,
cohort,"cohort,case-control",Mille2018ioma59-y,Handedness and the risk of glioma,kd,Yes,Yes,"""Subjects included in the cohort analysis were selected from...the UKBiobank""",NA,NA,NA,Handedness and the risk of glioma,mg,Yes,Yes,"In this study, we examined the relationship between handedness and glioma risk in a large case–control study (1849 glioma cases and 1354 healthy controls) and a prospective cohort study (326,475 subjects with 375 incident gliomas).",NA,NA,NA,,
other,cohort,Mulle2017tudy2467,Lung Cancer Risk Prediction Model Incorporating Lung Function: Development and Validation in the UK Biobank Prospective Cohort Study,kd,Yes,Not present,NA,model validation,"Exclude?  ""We sought to develop and internally validate a model incorporating lung function using data from the UK Biobank"". If include has a cohort design: did not sample based on outcome and examined association between numerous exposures and lung cancer measured at follow up.",RR,Lung Cancer Risk Prediction Model Incorporating Lung Function: Development and Validation in the UK Biobank Prospective Cohort Study,mg,Yes,Not present,NA,NA,"During accumulated follow-up of 1,469,518 person-years, there were 738 lung cancer diagnoses.",NA,RR,
"cross-sectional,other","cohort,cross-sectional",Olivo2019tudy.014,Low neuroticism and cognitive performance are differently associated to overweight and obesity: A cross-sectional and longitudinal UK Biobank study,kd,Yes,Not present,"""we examined cross-sectional associations of neuroticism and cognitive function with overweight and obesity in ... the UK Biobank cohort""",UNCERTAIN,Examines if neuroticisms predicts BMI at follow up = is this case-control or cohort since they have 1 outcome and 1 exposure?,RR,Low neuroticism and cognitive performance are differently associated to overweight and obesity: A cross-sectional and longitudinal UK Biobank study,mg,Yes,Not present,Low neuroticism and cognitive performance are differently associated to overweight and obesity: A cross-sectional and longitudinal UK Biobank study,NA,NA,NA,,
case-control,cohort,Papag2019omen2359,Muscle mass measures and incident osteoporosis in a large cohort of postmenopausal women,kd,Yes,Yes,NA,NA,Examines associations of multiple measures of muscle mass in women with & without osteoporosis over time,NA,Muscle mass measures and incident osteoporosis in a large cohort of postmenopausal women,mg,Yes,Yes,"Over a median follow-up of 6.75 (5th to 95th percentile interval, 1.53 to 8.37) years, 394 newly diagnosed cases of osteoporosis occurred, with 40 (10.2%) cases being associated with a pathological fracture.",NA,NA,Already filled out a questionnaire for this so sorry if that messes things up. Didn't realise it stops me if I say the supporting information is not available. One file is available and another isn't.,,
"cross-sectional,cross-sectional",cross-sectional,Pierz2016tion0341,Tinnitus and Sleep Difficulties After Cochlear Implantation,kd,Yes,Yes,"DESCRIPTIVE ""The aims of the present study were therefore to (i) estimate the prevalence of sleep difficulties among adult CI users and those who may be candidates for implantation"" ",NA,"""The aims of the present study were therefore to ... (ii) examine the associations between sleep difficulties, tinnitus characteristics, and tinnitus-related emotional distress"". All measures were taken at the same time",NA,Tinnitus and Sleep Difficulties After Cochlear Implantation,mg,Yes,Yes,Objectives: To estimate and compare the prevalence of and associations between tinnitus and sleep difficulties in a sample of UK adult cochlear implant users and those identified as potential candidates for cochlear implantation.,NA,NA,NA,,
cross-sectional,case-control,Rudne2016urce0314,Better Visuospatial Working Memory in Adults Who Report Profound Deafness Compared to Those With Normal or Poor Hearing: Data From the UK Biobank Resource,kd,Yes,Not present,NA,NA,Examined association between visuospatial working memory and hearing difficulty. Sampled based on outcome but outcome and exposure were measure at same time,NA,Better Visuospatial Working Memory in Adults Who Report Profound Deafness Compared to Those With Normal or Poor Hearing: Data From the UK Biobank Resource,mg,Yes,Not present,NA,NA,The nonstandardized regression coefficients resulting from the analysis were used to estimate the effect of VSWM between hearing groups.,NA,,
case-control,cross-sectional,Shwei2015hort.157,Measures of socioeconomic status and self-reported glaucoma in the UK Biobank cohort,kd,Yes,Not present,NA,NA,Examined association of self-reported glaucoma diagnoses four years after UK biobank began with numerous exposures,NA,Measures of socioeconomic status and self-reported glaucoma in the U.K. Biobank cohort,mg,Yes,Not present,NA,NA,The UK Biobank study is a voluntary multisite cross-sectional study of 502<U+2009>656 UK residents aged 40–69 years who were registered with the National Health Service living within 25 miles from any of the 22 study assessment centres.,NA,,
cohort,case-control,Tran2018dies4796,Proton pump inhibitor and histamine-2 receptor antagonist use and risk of liver cancer in two population-based studies,kd,Yes,Not present,"""We also conducted a prospective cohort study within the UK Biobank using self-reported medication use and cancer-registry recorded primary liver cancer""",NA,NA,contains separate study in another cohort,Proton pump inhibitor and histamine-2 receptor antagonist use and risk of liver cancer in two population-based studies,mg,Yes,Not present,"We conducted a nested case-control study within the Primary Care Clinical Informatics Unit (PCCIU) database in which up to five controls were matched to cases with primary liver cancer, recorded by General Practitioner",NA,NA,NA,,cohort
cohort,"cohort,cross-sectional",Welsh2018bank0945,Association of Total and Differential Leukocyte Counts With Cardiovascular Disease and Mortality in the UK Biobank,kd,Yes,Yes,NA,NA,"""we examined the association between WBC and the differential leukocyte counts with all-cause mortality, CVD mortality, and non-CVD mortality in the UK Biobank population"". Did not sample based on outcome",NA,Association of Total and Differential Leukocyte Counts With Cardiovascular Disease and Mortality in the UK Biobank,mg,Yes,Yes,Cross-Sectional Associations,NA,"Death because of CVD (n=1377) and non-CVD causes (n=8987) occurred during median follow-up time of 7.0 years (interquartile range, 6.3–7.6).",NA,RR,
cross-sectional,case-control,Wyse2017up/>2045,"Adverse metabolic and mental health outcomes associated with shiftwork in a population-based study of 277,168 workers in UK biobank<sup/>",kd,Yes,Yes,"""In this large cross sectional study of UK workers, shiftwork was associated with obesity, depression and sleep disturbance, despite higher levels of physical activity.""",NA,NA,NA,"Adverse metabolic and mental health outcomes associated with shiftwork in a population-based study of 277,168 workers in UK biobank<sup/>",mg,Yes,Yes,NA,NA,shift-work and non-shift-work are case and control,NA,,
case-control,cohort,Yaghj2018bank28-x,Interactions of coffee consumption and postmenopausal hormone use in relation to breast cancer risk in UK Biobank,kd,Yes,Not present,NA,NA,investigated the associations of coffee consumption in women with & without breast cancer,NA,Interactions of coffee consumption and postmenopausal hormone use in relation to breast cancer risk in UK Biobank,mg,Yes,Not present,"In this prospective cohort of 126,182 women, 2,636 women developed breast cancer and 123,546 women remained cancer-free during the follow-up.",NA,NA,NA,,
