"","level","Overall"
"","1","43 (64.2)"
"s13starredb (%)","0","16 (23.9)"
"","1","51 (76.1)"
"s13starredc (%)","0","53 (79.1)"
"","1","14 (20.9)"
"s14starreda_i (%)","0","4 (6.0)"
"","1","63 (94.0)"
"s14starreda_ii (%)","0","14 (20.9)"
"","1","53 (79.1)"
"s14starredb (%)","0","44 (83.0)"
"","1","9 (17.0)"
"s14starredc_coh (%)","0","3 (10.0)"
"","1","27 (90.0)"
"s15starred_cc (%)","1","4 (100.0)"
"s15starred_coh (%)","0","4 (12.9)"
"","1","27 (87.1)"
"s15starred_cs (%)","0","5 (13.5)"
"","1","32 (86.5)"
"s16a_i (%)","0","42 (63.6)"
"","1","24 (36.4)"
"s16a_ii (%)","0","6 (9.1)"
"","1","60 (90.9)"
"s16a_iii (%)","0","10 (14.9)"
"","1","57 (85.1)"
"s16a_iv (%)","0","4 (6.1)"
"","1","62 (93.9)"
"s16a_v (%)","0","63 (95.5)"
"","1","3 (4.5)"
"s16b (%)","0","21 (40.4)"
"","1","31 (59.6)"
"s16c (%)","0","48 (96.0)"
"","1","2 (4.0)"
"s17_i (%)","0","5 (14.3)"
"","1","30 (85.7)"
"s17_ii (%)","0","16 (39.0)"
"","1","25 (61.0)"
"s17_iii (%)","0","17 (37.0)"
"","1","29 (63.0)"
"s17_iv (%)","0","3 (25.0)"
"","1","9 (75.0)"
"s18 (%)","1","67 (100.0)"
"s19_i (%)","0","1 (1.5)"
"","1","66 (98.5)"
"s19_ii (%)","0","56 (83.6)"
"","1","11 (16.4)"
"s20 (%)","0","15 (22.4)"
"","1","52 (77.6)"
"s21 (%)","0","20 (29.9)"
"","1","47 (70.1)"
"s22_i (%)","0","13 (19.4)"
"","1","54 (80.6)"
"s22_ii (%)","0","44 (69.8)"
"","1","19 (30.2)"
"s22_iii (%)","0","51 (76.1)"
"","1","16 (23.9)"
"s22_iv (%)","0","56 (83.6)"
"","1","11 (16.4)"
"s1b__sum (%)","0","23 (34.3)"
"","1","44 (65.7)"
"s2__sum (%)","0","1 (1.5)"
"","1","66 (98.5)"
"s5__sum (%)","0","60 (89.6)"
"","1","7 (10.4)"
"s6a__sum (%)","0","19 (28.4)"
"","1","48 (71.6)"
"s6b__sum (%)","1","1 (1.5)"
"","NaN","66 (98.5)"
"s7__sum (%)","0","41 (61.2)"
"","1","26 (38.8)"
"s8starred__sum (%)","0","58 (86.6)"
"","1","9 (13.4)"
"s11__sum (%)","0","64 (95.5)"
"","1","3 (4.5)"
"s12b__sum (%)","0","31 (46.3)"
"","1","19 (28.4)"
"","NaN","17 (25.4)"
"s12d__sum (%)","0","26 (38.8)"
"","1","4 (6.0)"
"","NaN","37 (55.2)"
"s14starreda__sum (%)","0","16 (23.9)"
"","1","51 (76.1)"
"s15starred__sum (%)","0","8 (11.9)"
"","1","59 (88.1)"
"s16a__sum (%)","0","65 (97.0)"
"","1","2 (3.0)"
"s17__sum (%)","0","30 (44.8)"
"","1","31 (46.3)"
"","NaN","6 (9.0)"
"s19__sum (%)","0","56 (83.6)"
"","1","11 (16.4)"
"s22__sum (%)","0","63 (94.0)"
"","1","4 (6.0)"
