"article_id","title","designs","predict","strobe","other_guidelines","strobe_ev","strobe_cite","reg","reg_id","reg_ev","var_id","ukb_credit","ukb_credit_ev","code","X1a","X1b_i","X1b_ii","X2_i","X2_ii","X3","X4","X5_i","X5_ii","X5_iii","X5_iv","X5_v","X5_vi","X6a_i_coh_cs","X6a_ii_coh_cs","X6a_iii_coh_cs","X6a_iv_coh","X6b_i_coh","X6b_ii_coh","X6a_i_cc","X6a_ii_cc","X6a_iii_cc","X6a_iv_cc","X6b_i_cc","X6b_ii_cc","X7_i","X7_ii","X7_iii","X7_iv","X7_v","X7_vi","X8starred_i","X8_star_i_cc","X8_star_i_coh_cs","X8starred_ii","X8_star_ii_cc","X8_star_ii_coh_cs","X8starred_iii","X8_star_iii_cc","X8_star_iii_coh_cs","X9","X10","X11_i","X11_ii","X11_iii","X12a","X12b_i","X12b_ii","X12c","X12d_coh","X12d_cc","X12d_cs","X12e","X13starreda","X13_star_a_cc","X13_star_a_coh_cs","X13starredb","X13_star_b_cc","X13_star_b_coh_cs","X13starredc","X13_star_c_cc","X13_star_c_coh_cs","X14starreda_i","X14_star_a_i_cc","X14_star_a_i_coh_cs","X14starreda_ii","X14_star_a_ii_cc","X14_star_a_ii_coh_cs","X14starredb","X14_star_b_cc","X14_star_b_coh_cs","X14starredc_coh","X14_star_c_coh","X15starred_coh","X15_star_coh","X15starred_cc","X15_star_cc","X15starred_cs","X15_star_cs","X16a_i","X16a_ii","X16a_iii","X16a_iv","X16a_v","X16b","X16c","X17_i","X17_ii","X17_iii","X17_iv","X18","X19_i","X19_ii","X20","X21","X22_i","X22_ii","X22_iii","X22_iv","comments","email","country","ukb_app","keywords","coi","year","journal","access_article","access_supp","open_access_publisher","open_access_other","correction","retraction"
"Elova2017tudy75-0","Contribution of risk factors to excess mortality in isolated and lonely individuals: an analysis of data from the UK Biobank cohort study","Cohort",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","yes_almost","""This research was done using the UK Biobank resource.""","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Partially","Yes","Partially","Yes","Partially",NA,NA,NA,NA,NA,NA,NA,NA,"Partially-External","Yes",NA,"Partially-External",NA,"Partially-External","Yes",NA,"No","Partially-External",NA,NA,NA,NA,NA,"Yes",NA,"Yes","Partially-External","No","Yes","Yes",NA,"Yes","No",NA,NA,"Yes","Yes",NA,NA,"Yes",NA,NA,"No",NA,NA,"Yes",NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes",NA,"Yes",NA,NA,NA,NA,NA,"No","Yes","Yes","Partially","Partially",NA,"No","Yes",NA,"Yes","Yes","Yes","Yes","Partially","Yes","Partially","Yes","Yes","No","No",NA,"marko.elovainio@helsinki.fi","Finland",NA,NA,"""Declaration of interests We declare no competing interests.""",2017,"Lancet Public Health","Yes","TRUE",TRUE,NA,"TRUE",FALSE
"Falco2017bank7132","Patterns and correlates of active commuting in adults with type 2 diabetes: cross-sectional evidence from UK Biobank ","Cross-sectional",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","yes_exact","""This research has been conducted using the UK Biobank Resource""","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partially",NA,"Partially","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Yes","Yes",NA,"Yes",NA,NA,"Partially",NA,NA,"Yes",NA,NA,"No",NA,"Partially","Partially","Partially","Yes",NA,"Partially","Yes",NA,NA,NA,NA,"Yes",NA,"No","Yes",NA,"No","Yes",NA,"No","Yes",NA,"No","Yes",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Partially","Yes","Partially","No","Partially","No",NA,"Partially",NA,NA,"Yes","Yes","No","Partially","Yes","Yes","No","No","No",NA,"ashley.cooper@bristol.ac.uk","UK",19307,NA,"""Competing interests None declared.""",2017,"BMJ Open","Yes","FALSE",TRUE,NA,"FALSE",FALSE
"Foste2018hort00-7","The effect of socioeconomic deprivation on the association between an extended measurement of unhealthy lifestyle factors and health outcomes: a prospective analysis of the UK Biobank cohort","Cohort",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","no","""This study used UK Biobank data""","No","Partially","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partially","Partially","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Partially-External","Yes",NA,"Yes","Yes","Partially-External","Yes",NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes",NA,"Yes","Yes","Partially","Yes",NA,"Yes","Yes","No",NA,NA,"Yes","Yes",NA,NA,"Yes",NA,NA,"No",NA,NA,"Yes",NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes",NA,"Partially",NA,NA,NA,NA,NA,"No","Yes","Yes","Yes","No","Yes","Unsure",NA,"Yes","Yes","Yes","Yes","Yes","Partially","Yes","Yes","Yes",NA,"No","Yes",NA,"frances.mair@glasgow.ac.uk","UK",7155,NA,"""Declaration of interests We declare no competing interests.""",2018,"Lancet Public Health","Yes","TRUE",TRUE,NA,"FALSE",FALSE
"Gugge2016ants16.7","Childhood febrile illness and the risk of myopia in UK Biobank participants","Case-control",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","yes_exact","""This research has been conducted using the UK Biobank Resource""","No","No","Yes","Yes","Partially","Yes","Yes","Yes","Partially","Yes","Yes","No","No","No",NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","No",NA,NA,"Yes","Yes",NA,"Yes","Yes","Yes","Yes","No",NA,"Yes","No",NA,"Yes","No",NA,"Yes",NA,"Yes","Yes","Partially","Yes","Yes","Partially","Yes",NA,NA,NA,NA,"Yes","No",NA,"Yes","No",NA,"No","No",NA,"Yes","No",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No",NA,NA,"Yes","Yes","Yes","Yes","No","Yes","Partially","Yes","Partially",NA,NA,"Yes","Yes","Partially","Yes","Yes","Yes","Yes","No","No",NA,"GuggenheimJ1@ cardiff.ac.uk","UK",NA,NA,"""Competing interests The authors declare no conflict of interest.""",2016,"Eye (Lond)","Yes","TRUE",TRUE,NA,"FALSE",FALSE
"Kyle2017bank.001","Sleep and cognitive performance: cross-sectional associations in the UK Biobank","Cross-sectional",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","yes_exact","""This research has been conducted using the UK Biobank Resource.""","No","Yes","Yes","Partially","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",NA,"Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Yes",NA,NA,"Yes",NA,"No","Partially",NA,"No","No",NA,"No","No",NA,"Yes","Yes","Partially","Yes","Partially",NA,"Yes",NA,NA,NA,"Partially","Yes",NA,"No","Yes",NA,"No","No",NA,"No","Yes",NA,"Yes","Partially",NA,"Partially","No",NA,"No",NA,NA,NA,NA,NA,NA,"Partially","Partially","Yes","Yes","No","Yes","No","Yes",NA,"Yes",NA,"Yes",NA,"Yes","Yes","Yes","Yes","Yes","No","No","No","No",NA,"simon.kyle@ndcn.ox.ac.uk","UK",NA,"Insomnia; Cognitive performance; Chronotype; Sleep duration; Sleep medication","""Conflict of interest The ICMJE Uniform Disclosure Form for Potential Conflicts of interest associated with this article can be viewed by clicking on the following link:http://dx.doi.org/10.1016/j.sleep.2017.07.001""",2017,"Sleep Med","Yes","TRUE",FALSE,"TRUE","FALSE",FALSE
"Lyall2016hort2154","Low birth weight and features of neuroticism and mood disorder in 83 545 participants of the UK Biobank cohort","Cohort",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","yes_exact","""This research has been conducted using the UK Biobank resource""","No","Yes","Partially","Partially","Yes","Yes","Yes","Yes","Yes","No","Yes","No",NA,"No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Partially","Yes","Partially-External","Yes",NA,NA,"Partially",NA,NA,NA,NA,NA,"Yes",NA,"Partially","Partially","No","Yes",NA,"Yes","No",NA,NA,NA,"Yes","Partially",NA,NA,"Yes",NA,NA,"No",NA,NA,"Yes",NA,NA,"Partially",NA,NA,"No",NA,NA,NA,NA,"Partially",NA,NA,NA,NA,NA,"Partially","Partially","Partially","Yes","Partially","Partially","No",NA,"Yes","Yes",NA,"Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","I think this is a cross-sectional study not a ""retrospective cohort"" as they state","Donald.Lyall@glasgow.ac.uk","UK",NA,NA,"""Declaration of interest None.""",2016,"BJPsych Open","Yes","FALSE",TRUE,NA,"FALSE",FALSE
"Marti2016tudy7784","Cardiometabolic disease and features of depression and bipolar disorder: Population-based, cross-sectional study","Cross-sectional",NA,"ni",NA,NA,NA,"ni",NA,NA,"Sometimes","yes_exact","""This research has been conducted using the UK Biobank resource""","No","Yes","Yes","Yes","Partially","Yes","Yes","Yes","Partially","Yes","Yes","Yes",NA,"Partially","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Yes","Yes","Yes","Yes",NA,NA,"Yes",NA,NA,"Yes",NA,NA,"No",NA,"Yes","Yes","Partially","Yes","Yes","Partially","Partially",NA,NA,NA,NA,"Partially",NA,"Partially","Yes",NA,"No","No",NA,"No","Yes",NA,"Yes","Yes",NA,"Yes","No",NA,"No",NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","No","Partially","No","Partially","Partially",NA,"Partially","Yes","Yes","Partially","Yes","No","No","No","Yes","Yes",NA,"daniel.smith@glasgow.ac.uk","UK",NA,NA,"""Declaration of interest None""",2016,"Br J Psychiatry","Yes","TRUE",TRUE,NA,"FALSE",FALSE
"Nicho2014bank50-4","Chronic multisite pain in major depression and bipolar disorder: cross-sectional study of 149,611 participants in UK Biobank","Cross-sectional",NA,"ni",NA,NA,NA,"ni",NA,NA,"Sometimes","yes_exact","""This research has been conducted using the UK Biobank resource""","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partially","Partially",NA,"Partially","Partially","Yes","Partially",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Yes","Yes","Yes","Yes",NA,NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",NA,"Yes","Yes","Partially","Yes",NA,"Yes","Yes",NA,NA,NA,NA,"Yes",NA,"No","Partially",NA,"No","No",NA,"No","Yes",NA,"No","Yes",NA,"No","No",NA,"No",NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","No","Partially","No",NA,"Partially",NA,NA,"Yes","Yes","Partially","Yes","No","No","No","Yes","No",NA,"Barbara.Nicholl@glasgow.ac.uk","UK",NA,"Major depression, Bipolar disorder, Chronic pain, Comorbidity ","""Competing interests The authors declare that they have no competing interests.""",2014,"BMC Psychiatry","Yes","TRUE",TRUE,NA,"FALSE",FALSE
"Nicho2015bank43-5","Ethnic differences in the association between depression and chronic pain: cross sectional results from UK Biobank","Cross-sectional",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","yes_exact","""This research has been conducted using the UK Biobank resource""","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partially",NA,"Partially","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Partially","Yes",NA,"Yes",NA,NA,"Partially",NA,NA,"Yes",NA,NA,"Yes",NA,"Yes","Yes","Partially","Yes",NA,"Partially","Partially",NA,NA,NA,NA,"Partially",NA,NA,"Yes",NA,NA,"No",NA,NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes","Yes","Yes","Yes","No","Partially","No",NA,"Partially",NA,NA,"Yes","Yes","Yes","Yes","Yes","No","No","Yes","No",NA,"Barbara.Nicholl@glasgow.ac.uk","UK",7155,"Chronic pain, Depression, Ethnicity, Comorbidity","""Competing interests The authors declare that they have no competing interests.""",2015,"BMC Fam Pract","Yes","FALSE",TRUE,NA,"FALSE",FALSE
"Ntuk2017tudy3323","Association between grip strength and diabetes prevalence in black, South-Asian, and white European ethnic groups: a cross-sectional analysis of 418 656 participants in the UK Biobank study","Cross-sectional",NA,"ni",NA,NA,NA,"ni",NA,NA,"Never","yes_almost","""This research was conducted using the UK Biobank resource""","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partially","Yes","Yes","Partially",NA,"Partially","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Partially","Yes",NA,"Yes",NA,NA,"Partially",NA,NA,"Yes",NA,NA,"Yes",NA,"Partially","Yes","No","Partially",NA,"Partially","Partially",NA,NA,NA,"Yes","Partially",NA,"Partially","Partially",NA,"Partially","No",NA,"No","Yes",NA,NA,"Yes",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,"Yes",NA,"No","Yes","Yes","Yes","No","Unsure","Yes",NA,"Partially","Partially",NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",NA,"jason.gill@glasgow.ac.uk","UK",NA,NA,"""Competing interests None declared.""",2017,"Diabet Med","Yes","TRUE",FALSE,"TRUE","FALSE",FALSE
