"num","article_id","title","access_article","access_supp","comments.kd","comments.mg","design_ev.kd","design_ev.mg","design_judg_4_TEXT.kd","design_judg_4_TEXT.mg","design_judg_rat.kd","design_judg_rat.mg","title_sub","design_all.kd","design_all.mg","supp_location","resol_becky","resol_correct_design"
74,"Benne2018bank0017","Sex differences in macronutrient intake and adherence to dietary recommendations: findings from the UK Biobank","Yes","Yes",NA,NA,"""Cross-sectional data were used from the UK Biobank""","Design Cross-sectional population-based study.",NA,NA,NA,NA,"sexdifferencesinmacronutrientintakeandadherencetodietaryrecommendationsfindingsfromtheukbiobank","cross-sectional","cross-sectional",NA,NA,NA
7,"Boaky2018antsx102","Tobacco exposure and sleep disturbance in 498 208 UK Biobank participants","Yes","Yes",NA,NA,"""This cross-sectional study used data from the UK Biobank: ""","This cross-sectional study used data from the UK Biobank: a cohort study of 502 655 participants, of whom 498 208 provided self-reported data on smoking and sleep characteristics.",NA,NA,NA,NA,"tobaccoexposureandsleepdisturbanceinukbiobankparticipants","cross-sectional","cross-sectional",NA,NA,NA
73,"Bowma2017ants7157","Central adiposity and the overweight risk paradox in aging: follow-up of 130,473 UK Biobank participants","Yes","Yes",NA,NA,NA,NA,NA,NA,"""This study aimed to estimate associations between combined measurements of BMI and waist-to-hip ratio (WHR) with mortality and incident coronary artery disease"". Did not sample based on outcome. Outcomes measured at follow up","This study followed 130,473 UK Biobank participants aged 60–69 y (baseline 2006–2010) for =8.3 y (n = 2974 deaths). ","centraladiposityandtheoverweightriskparadoxinagingfollowupofukbiobankparticipants","cohort","cohort",NA,NA,NA
79,"Bradb2017bank1843","Association between physical activity and body fat percentage, with adjustment for BMI: a large cross-sectional analysis of UK Biobank","Yes","Yes",NA,NA,"""Design A cross-sectional analysis of participants recruited into UK Biobank in 2006–2010.""","Design A cross-sectional analysis of participants recruited into UK Biobank in 2006–2010.",NA,NA,NA,NA,"associationbetweenphysicalactivityandbodyfatpercentagewithadjustmentforbmialargecrosssectionalanalysisofukbiobank","cross-sectional","cross-sectional",NA,NA,NA
37,"Burgo2018ants99-8","Examining the interaction of fast-food outlet exposure and income on diet and obesity: evidence from 51,361 UK Biobank participants","Yes","Yes",NA,NA,"""Our study has a number of limitations, foremost of which is the cross-sectional, observational study design""","We employed an observational, cross-sectional study design.",NA,NA,NA,NA,"examiningtheinteractionoffastfoodoutletexposureandincomeondietandobesityevidencefromukbiobankparticipants","cross-sectional","cross-sectional",NA,NA,NA
105,"Cai2017oach2015","Ambient air pollution, traffic noise and adult asthma prevalence: a BioSHaRE approach","Yes","Yes",NA,NA,"""In this cross-sectional study involving three large European cohorts"" including UK biobank","A cross-sectional analysis of 646<U+200A>731 participants aged =20 years was undertaken using DataSHIELD to pool data for individual-level analysis via a “compute to the data” approach.",NA,NA,NA,NA,"ambientairpollutiontrafficnoiseandadultasthmaprevalenceabioshareapproach","cross-sectional","cross-sectional",NA,NA,NA
110,"Cassi2016etes0038","Cross-sectional study of diet, physical activity, television viewing and sleep duration in 233,110 adults from the UK Biobank; the behavioural phenotype of cardiovascular disease and type 2 diabetes","Yes","Yes",NA,NA,"""Design Cross-sectional observational study.""","Design Cross-sectional observational study.",NA,NA,NA,NA,"crosssectionalstudyofdietphysicalactivitytelevisionviewingandsleepdurationinadultsfromtheukbiobankthebehaviouralphenotypeofcardiovasculardiseaseandtypediabetes","cross-sectional","cross-sectional",NA,NA,NA
34,"Cassi2017ants7982","The cardio-metabolic impact of taking commonly prescribed analgesic drugs in 133,401 UK Biobank participants","Yes","Yes",NA,NA,"""This cross-sectional analysis of the UK Biobank cohort""","A cross-sectional analysis was conducted on baseline data from the UK Biobank. ",NA,NA,NA,NA,"thecardiometabolicimpactoftakingcommonlyprescribedanalgesicdrugsinukbiobankparticipants","cross-sectional","cross-sectional",NA,NA,NA
169,"Cassi2017bank14-y","Low physical activity, high television viewing and poor sleep duration cluster in overweight and obese adults; a cross-sectional study of 398,984 participants from the UK Biobank","Yes","Yes",NA,NA,"""A cross sectional analysis was conducted on baseline data from the UK Biobank"""," a cross-sectional study of 398,984 participants from the UK Biobank",NA,NA,NA,NA,"lowphysicalactivityhightelevisionviewingandpoorsleepdurationclusterinoverweightandobeseadultsacrosssectionalstudyofparticipantsfromtheukbiobank","cross-sectional","cross-sectional",NA,NA,NA
126,"Cassi2018ants61-8","Accelerometer-derived physical activity in those with cardio-metabolic disease compared to healthy adults: a UK Biobank study of 52,556 participants","Yes","Not present",NA,NA,NA,"Using the largest accelerometer cohort to date, we aimed to investigate whether there is an association between disease status and accelerometer variables after a 5-year follow-up.",NA,NA,"investigate whether there is an association between cardio-metabolic disease status and accelerometer variables after a 5-year follow-up.",NA,"accelerometerderivedphysicalactivityinthosewithcardiometabolicdiseasecomparedtohealthyadultsaukbiobankstudyofparticipants","cohort","cohort",NA,FALSE,"cohort"
89,"Celis2017antsw249","The association between physical activity and risk of mortality is modulated by grip strength and cardiorespiratory fitness: evidence from 498 135 UK-Biobank participants","Yes","Yes",NA,NA,NA,"In this prospective, population-based study, all-cause mortality, and incidence of CVD were the outcomes; CRF, grip strength, and total physical activity were the exposure variables; and socio-demographic factors (age, sex, ethnicity, area socioeconomic deprivation index), smoking status, body mass index (BMI), diagnosis of diabetes, cancer, heart disease (stroke, high blood pressure angina, and heart attack) and longstanding illness were covariates.",NA,NA,"""In this prospective, population-based study, all-cause mortality, and incidence of CVD were the outcomes; CRF, grip strength, and total physical activity were the exposure variables"". Did not sample based on outcome and used Cox-proportional hazards models.",NA,"theassociationbetweenphysicalactivityandriskofmortalityismodulatedbygripstrengthandcardiorespiratoryfitnessevidencefromukbiobankparticipants","cohort","cohort",NA,NA,NA
33,"Celis2017tudy0921","Associations Between Diabetes and Both Cardiovascular Disease and All-Cause Mortality Are Modified by Grip Strength: Evidence From UK Biobank, a Prospective Population-Based Cohort Study","Yes","Yes",NA,NA,"""We undertook a prospective, general population cohort study by using UK Biobank""","Associations Between Diabetes and Both Cardiovascular Disease and All-Cause Mortality Are Modified by Grip Strength: Evidence From UK Biobank, a Prospective Population-Based Cohort Study",NA,NA,NA,NA,"associationsbetweendiabetesandbothcardiovasculardiseaseandallcausemortalityaremodifiedbygripstrengthevidencefromukbiobankaprospectivepopulationbasedcohortstudy","cohort","cohort",NA,NA,NA
84,"Celis2017tudy1456","Association between active commuting and incident cardiovascular disease, cancer, and mortality: prospective cohort study","Yes","Yes",NA,NA,NA,"Design Prospective population based study.",NA,NA,"""we ...investigate the association between different types of active commuting and incident CVD, cancer, and all cause mortality"". Do not sample based on outcome",NA,"associationbetweenactivecommutingandincidentcardiovasculardiseasecancerandmortalityprospectivecohortstudy","cohort","cohort",NA,NA,NA
70,"Celis2018ants1651","Associations of grip strength with cardiovascular, respiratory, and cancer outcomes and all cause mortality: prospective cohort study of half a million UK Biobank participants","Yes","Yes",NA,NA,"""prospective cohort study of half a million UK Biobank participants""","Associations of grip strength with cardiovascular, respiratory, and cancer outcomes and all cause mortality: prospective cohort study of half a million UK Biobank participants",NA,NA,NA,NA,"associationsofgripstrengthwithcardiovascularrespiratoryandcanceroutcomesandallcausemortalityprospectivecohortstudyofhalfamillionukbiobankparticipants","cohort","cohort",NA,NA,NA
168,"Celis2018antsy134","Associations of Dietary Protein Intake With Fat-Free Mass and Grip Strength: A Cross-Sectional Study in 146,816 UK Biobank Participants","Yes","Yes",NA,NA,"""The cross-sectional aspects of this study did not allow us to demonstrate causality in the observed associations.""","Associations of Dietary Protein Intake With Fat-Free Mass and Grip Strength: A Cross-Sectional Study in 146,816 UK Biobank Participants",NA,NA,NA,NA,"associationsofdietaryproteinintakewithfatfreemassandgripstrengthacrosssectionalstudyinukbiobankparticipants","cross-sectional","cross-sectional",NA,NA,NA
42,"Celis2018tudy63-1","Associations of discretionary screen time with mortality, cardiovascular disease and cancer are attenuated by strength, fitness and physical activity: findings from the UK Biobank study","Yes","Yes",NA,NA,NA,"In this prospective population-based study, all-cause mortality, CVD incidence and mortality, and cancer incidence and mortality were the main outcomes. ",NA,NA,"""aim of this study was to determine whether the associations of screen time with cardiovascular disease and all-cause mortality were modified by levels of cardiorespiratory fitness, grip strength or physical activity."". Did not sample based on outcome. Mortality measured at follow up",NA,"associationsofdiscretionaryscreentimewithmortalitycardiovasculardiseaseandcancerareattenuatedbystrengthfitnessandphysicalactivityfindingsfromtheukbiobankstudy","cohort","cohort",NA,NA,NA
111,"Celis2019lity1795","Walking Pace Is Associated with Lower Risk of All-Cause and Cause-Specific Mortality","Yes","Yes",NA,NA,NA,NA,NA,NA,"""he aim of this study was to investigate whether usual walking pace is associated with a range of health outcomes"". Outcomes measured at follow up. Did not sample based on outcome","UK Biobank participants (318,185 [54%] women) age 40 to 69 yr were included. Walking pace and total walking time were self-reported. The outcomes comprised: all-cause mortality as well as incidence and mortality from CVD, respiratory disease and cancer. The associations were investigated using Cox proportional hazard models.","walkingpaceisassociatedwithlowerriskofallcauseandcausespecificmortality","cohort","cohort",NA,NA,NA
148,"Chan2016bank.031","Associations with Intraocular Pressure in a Large Cohort: Results from the UK Biobank","Yes","Yes",NA,NA,"""Cross-sectional study within the UK Biobank""","Cross-sectional study within the UK Biobank",NA,NA,NA,NA,"associationswithintraocularpressureinalargecohortresultsfromtheukbiobank","cross-sectional","cross-sectional",NA,NA,NA
20,"Cleut2014bank.007","Cognitive functioning in obstructive lung disease: results from the United Kingdom biobank","Yes","Yes",NA,NA,NA,NA,NA,NA,"""Cognitive functioning was compared between persons with and without"" lung disease at one time point","comparing people with Obstructive Lung Disease and people without on exposures","cognitivefunctioninginobstructivelungdiseaseresultsfromtheunitedkingdombiobank","cross-sectional","cross-sectional",NA,TRUE,"cross-sectional"
44,"Cook2018banky224","The prevalence of co-morbidities and their impact on physical activity in people with inflammatory rheumatic diseases compared with the general population: results from the UK Biobank","Yes","Yes",NA,NA,"DESCRIPTIVE: ""The primary objective of this study was to determine the prevalence and incidence of chronic co-morbidities in people with an inflammatory RMD ... compared with people without an inflammatory RMD in.... the UK (UK Biobank).""","The prevalence of co-morbidities and their impact on physical activity in people with inflammatory rheumatic diseases compared with the general population: results from the UK Biobank",NA,NA,"Did not sampled based on outcome.  ""Our secondary objective was to determine whether prevalent multi-morbidity is associated with physical activity level in people with an inflammatory RMD compared with those without these conditions.""",NA,"theprevalenceofcomorbiditiesandtheirimpactonphysicalactivityinpeoplewithinflammatoryrheumaticdiseasescomparedwiththegeneralpopulationresultsfromtheukbiobank","cross-sectional","cross-sectional",NA,FALSE,"cross-sectional"
121,"Cook2019sign3829","The effect of personalised weight feedback on weight loss and health behaviours: Evidence from a regression discontinuity design","Yes","Yes",NA,"Study uses a a regression-discontinuity approach",NA,"this study focuses in on the effect of the BMI feedback on weight change at follow-up",NA,NA,"""Using a regression-discontinuity approach on a U.K. longitudinal dataset, this research analyses whether personalised weight feedback resulted in individuals losing weight over a period of between 2 and 7 years."" (Abstract) - they look at the effect of BMI feedback on weight change measured in follow up",NA,"theeffectofpersonalisedweightfeedbackonweightlossandhealthbehavioursevidencefromaregressiondiscontinuitydesign","cohort","cohort",NA,NA,NA
87,"Coope2017tudyw054","Bidirectional association between physical activity and muscular strength in older adults: Results from the UK Biobank study","Yes","Yes",NA,NA,"""We examined the cross-sectional association between MVPA and grip strength at baseline""","We used multiple linear regression models to examine the cross-sectional, longitudinal and bidirectional associations between moderate-to-vigorous physical activity (MVPA) and grip strength, adjusting for potential confounding by age, sex, height, weight, health status, education level, smoking status, Townsend deprivation index and retirement status.",NA,NA,""" the longitudinal analyses, we demonstrated that baseline grip strength was linearly and positively associated with [moderate-to-vigorous physical activity] MVPA at follow-up, whereas MVPA at baseline was only weakly associated with grip strength at follow-up""",NA,"bidirectionalassociationbetweenphysicalactivityandmuscularstrengthinolderadultsresultsfromtheukbiobankstudy","cohort,cross-sectional","cohort,cross-sectional",NA,NA,NA
155,"Culle2015ants.006","Cognitive function and lifetime features of depression and bipolar disorder in a large population sample: Cross-sectional study of 143,828 UK Biobank participants","Yes","Yes",NA,NA,"""Cross-sectional analysis of baseline data from the UK Biobank""","Cognitive function and lifetime features of depression and bipolar disorder in a large population sample: Cross-sectional study of 143,828 UK Biobank participants",NA,NA,NA,NA,"cognitivefunctionandlifetimefeaturesofdepressionandbipolardisorderinalargepopulationsamplecrosssectionalstudyofukbiobankparticipants","cross-sectional","cross-sectional",NA,NA,NA
151,"Culle2017hort2733","The 'cognitive footprint' of psychiatric and neurological conditions: cross-sectional study in the UK Biobank cohort","Yes","Yes","include?",NA,"""In this cross-sectional study, we aimed to quantify the prevalence of cognitive impairment in adults with a history of mood disorder... in the UK Biobank cohort.""","Cross-sectional study using UK Biobank data (n = 502 642). Psychiatric and neurological exposure status was ascertained via self-reported diagnoses, hospital records and questionnaires.",NA,NA,NA,NA,"thecognitivefootprintofpsychiatricandneurologicalconditionscrosssectionalstudyintheukbiobankcohort","cross-sectional","cross-sectional",NA,NA,NA
40,"Culle2018bank68-6","Cross-sectional and longitudinal analyses of outdoor air pollution exposure and cognitive function in UK Biobank","Yes","Yes",NA,NA,"""cross-sectional associations between air pollutant exposure and cognitive performance attenuated towards the null after adjustment for important confounders.""","Cross-sectional and longitudinal analyses of outdoor air pollution exposure and cognitive function in UK Biobank",NA,NA,"Did not sample based on outcome and conducted what they called ""follow-up analyses"" and ""longitudinal analyses"" of the association between baseline exposure to pollution and cognitive function at baseline and follow-up",NA,"crosssectionalandlongitudinalanalysesofoutdoorairpollutionexposureandcognitivefunctioninukbiobank","cohort,cross-sectional","cohort,cross-sectional",NA,NA,NA
25,"Cumbe2015omes.040","Laser refractive surgery in the UK Biobank study: Frequency, distribution by sociodemographic factors, and general health, happiness, and social participation outcomes","Yes","Not present",NA,NA,"""DESIGN: Cross-sectional epidemiological study""","Cross-sectional epidemiological study.",NA,NA,NA,NA,"laserrefractivesurgeryintheukbiobankstudyfrequencydistributionbysociodemographicfactorsandgeneralhealthhappinessandsocialparticipationoutcomes","cross-sectional","cross-sectional",NA,NA,NA
119,"Cumbe2015tudy9780","Frequency and Distribution of Refractive Error in Adult Life: Methodology and Findings of the UK Biobank Study","Yes","Yes",NA,NA,""" However the cross-sectional nature of the present study makes it difficult to assess causality""",NA,NA,NA,NA,"We report the success of the UK Biobank (UKBB) study in delivering from a generic epidemiological study a high quality cross-sectional dataset on refractive error which is without parallel in scale. ","frequencyanddistributionofrefractiveerrorinadultlifemethodologyandfindingsoftheukbiobankstudy","cross-sectional","cross-sectional",NA,NA,NA
122,"Cumbe2016tudy1778","Visual Function, Social Position, and Health and Life Chances: The UK Biobank Study","Yes","Yes",NA,NA,"A cross-sectional epidemiologic study was conducted using UK Biobank data from 6 regional centers in England and Wales","A cross-sectional epidemiologic study was conducted using UK Biobank data from 6 regional centers in England and Wales.",NA,NA,NA,NA,"visualfunctionsocialpositionandhealthandlifechancestheukbiobankstudy","cross-sectional","cross-sectional",NA,NA,NA
39,"Cummi2016bank53-X","Active commuting and obesity in mid-life: cross-sectional, observational evidence from UK Biobank","Yes","Present but not accessible",NA,NA,"""METHODS: Cross-sectional, observational data from UK Biobank""","Active commuting and obesity in mid-life: cross-sectional, observational evidence from UK Biobank",NA,NA,NA,NA,"activecommutingandobesityinmidlifecrosssectionalobservationalevidencefromukbiobank","cross-sectional","cross-sectional",NA,NA,NA
153,"Dare2015tion3579","Relationship between smoking and obesity: a cross-sectional study of 499,504 middle-aged adults in the UK general population","Yes","Not present",NA,NA,"""A cross-sectional study was conducted using baseline data from UK Biobank""","Relationship between Smoking and Obesity: A Cross-Sectional Study of 499,504 Middle-Aged Adults in the UK General Population",NA,NA,NA,NA,"relationshipbetweensmokingandobesityacrosssectionalstudyofmiddleagedadultsintheukgeneralpopulation","cross-sectional","cross-sectional",NA,NA,NA
134,"Darli2018hort1404","Vitamin D supplement use and associated demographic, dietary and lifestyle factors in 8024 South Asians aged 40-69 years: analysis of the UK Biobank cohort","Yes","Yes",NA,NA,"""Design Cross-sectional analysis of baseline vitamin D supplement use data.""","Design: Cross-sectional analysis of baseline vitamin D supplement use data.",NA,NA,NA,NA,"vitamindsupplementuseandassociateddemographicdietaryandlifestylefactorsinsouthasiansagedyearsanalysisoftheukbiobankcohort","cross-sectional","cross-sectional",NA,NA,NA
24,"Davie2018bank79-y","The Causal Effects of Education on Health Outcomes in the UK Biobank","Yes","Yes",NA,NA,NA,NA,", regression discontinuity design",NA,"""We used a regression discontinuity design to investigate the causal effects of remaining in school. We found consistent evidence that remaining in school causally reduced risk of diabetes and mortality in all specifications.""","Follow-up for the linked mortality data started with the first death on 10 May 2006 and ended with the last recorded death on 17 February 2014.","thecausaleffectsofeducationonhealthoutcomesintheukbiobank","cohort","cohort",NA,TRUE,"cohort"
173,"Dawes2014gdom0010","Hearing in middle age: a population snapshot of 40- to 69-year olds in the United Kingdom","Yes","Yes","contains descriptive & analytical cross-sectional analyses",NA,"DESCRIPTIVE ""The present study provides estimates of the prevalence of hearing impairment""; analytical ""Multinomial logistic regression was used to model the effects of multiple characteristics and exposures on hearing difficulties"" all measured at the same time; ",NA,NA,NA,NA,"Objectives: To report population-based prevalence of hearing impairment based on speech recognition in noise testing in a large and inclusive sample of U.K. adults aged 40 to 69 years. The present study is the first to report such data. Prevalence of tinnitus and use of hearing aids is also reported.","hearinginmiddleageapopulationsnapshotoftoyearoldsintheunitedkingdom","cross-sectional","cross-sectional",NA,NA,NA
130,"Dawes2014loss61-0","Cigarette smoking, passive smoking, alcohol consumption, and hearing loss","Yes","Not present",NA,NA,"""This study utilized a cross-sectional correlational design""","The objective of this large population-based cross-sectional study was to evaluate the association between smoking, passive smoking, alcohol consumption, and hearing loss.",NA,NA,NA,NA,"cigarettesmokingpassivesmokingalcoholconsumptionandhearingloss","cross-sectional","cross-sectional",NA,NA,NA
45,"Dawes2015hood6590","The Effect of Prenatal and Childhood Development on Hearing, Vision and Cognition in Adulthood","Yes","Not present",NA,NA,"""The study was observational with cross-sectional and longitudinal measurement""","The study was observational with cross-sectional and longitudinal measurement, and it is not possible to establish a causal link between early development factors and adult cognitive and sensory function.",NA,NA,""" We also examined change in hearing, vision and cognitive function longitudinally over ~4 years as a function of birth weight and adult height. "" Did not sample based on outcome",NA,"theeffectofprenatalandchildhooddevelopmentonhearingvisionandcognitioninadulthood","cohort,cross-sectional","cohort,cross-sectional",NA,FALSE,"cohort,cross-sectional"
22,"Dawes2015sion9616","Hearing loss and cognition: the role of hearing AIDS, social isolation and depression","Yes","Not present",NA,NA,"""In cross-sectional modelling in a large sample of UK adults, hearing aid use was associated with better cognition""",NA,NA,NA,NA,"Hearing aid use was associated with better cognition in a large cross-sectional study of UK adults.","hearinglossandcognitiontheroleofhearingaidssocialisolationanddepression","cross-sectional","cross-sectional",NA,NA,NA
115,"Day2015tudy0031","Season of birth is associated with birth weight, pubertal timing, adult body size and educational attainment: a UK Biobank study","Yes","Not present",NA,NA,"""the UK Biobank study, we aimed to assess the impact of this seasonality on birth weight, age at menarche, adult height and body mass index (BMI)""",NA,NA,NA,NA,"The exposure is birth season (four) and not the presence of a disease or behaviour. (I don't have a clue what design this is)","seasonofbirthisassociatedwithbirthweightpubertaltimingadultbodysizeandeducationalattainmentaukbiobankstudy","cohort","cohort",NA,TRUE,"cohort"
104,"Day2015tudy1208","Puberty timing associated with diabetes, cardiovascular disease and also diverse health outcomes in men and women: the UK Biobank study","Yes","Yes",NA,NA,"""The main limitation of our study is the cross-sectional design""","The main limitation of our study is the cross-sectional design with reliance on self-reported medical histories and recalled measures of the exposures.",NA,NA,NA,NA,"pubertytimingassociatedwithdiabetescardiovasculardiseaseandalsodiversehealthoutcomesinmenandwomentheukbiobankstudy","cross-sectional","cross-sectional",NA,NA,NA
146,"DeMat2016tudy3406","Occupations associated with COPD risk in the large population-based UK Biobank cohort study","Yes","Yes",NA,NA,"""we conducted a cross-sectional analysis to identify the occupations associated with higher risk of COPD nested in the large population-based UK Biobank cohort.""","We performed a cross-sectional analysis to examine the association of COPD with current occupation (four-digit SOC-coded job) using all participants not working in each specific job as the reference group",NA,NA,NA,NA,"occupationsassociatedwithcopdriskinthelargepopulationbasedukbiobankcohortstudy","cross-sectional","cross-sectional",NA,NA,NA
135,"Dhalw2018tudy.007","Body mass index and mortality in people with and without diabetes: A UK Biobank study","Yes","Yes",NA,NA,NA,NA,NA,NA,"""To investigate the association of body mass index with all cause ... mortality in individuals with and without diabetes"" over time","We used age as time scale and Cox-proportional hazards model to calculate hazard ratios (HRs) for mortality with 95% confidence intervals (95% CI) within BMI categories in people with and without diabetes adjusting for the potential confounders described above.","bodymassindexandmortalityinpeoplewithandwithoutdiabetesaukbiobankstudy","cohort","cohort",NA,NA,NA
131,"Dixon2019hort50-2","The Association Between Adiposity and Inpatient Hospital Costs in the UK Biobank Cohort","Yes","Yes","EXCLUDE THIS PAPER BECAUSE IT LOOKS AT ASSOCIATION BETWEEN ADIPOSITY AND COSTS",NA,NA,"Person-years of follow-up ranged from 4.5 to 9 years (mean and median<U+2009>=<U+2009>6.1 years).",NA,NA,"EXCLUDE",NA,"theassociationbetweenadiposityandinpatienthospitalcostsintheukbiobankcohort","exclude_nepi","exclude_nepi",NA,FALSE,"exclude_nepi"
103,"Doiro2017orts1353","Residential Air Pollution and Associations with Wheeze and Shortness of Breath in Adults: A Combined Analysis of Cross-Sectional Data from Two Large European Cohorts","Yes","Yes",NA,NA,"""the findings from our cross-sectional analysis of data from adult cohorts in the United Kingdom and Netherlands ""","Cross-sectional analyses explored associations between prevalence of self-reported wheeze and shortness of breath and annual mean particulate matter with aerodynamic diameter <2.5µm, 2.5–10µm, and <10µm (PM2.5, PMcoarse, and PM10, respectively) and nitrogen dioxide (NO2) concentrations at place of residence using logistic regression.",NA,NA,NA,NA,"residentialairpollutionandassociationswithwheezeandshortnessofbreathinadultsacombinedanalysisofcrosssectionaldatafromtwolargeeuropeancohorts","cross-sectional","cross-sectional",NA,NA,NA
