variable,question,qualtric_var
s15_star_coh,Indicate if the authors report the following items for all the cohort studies in the article - 15_star_coh. Cohort studies - give the information separately for exposed and unexposed groups,Q33_4
s15_star_coh_ev,Indicate if the authors report the following items for all the cohort studies in the article - 15_star_coh. Cohort studies - give the information separately for exposed and unexposed groups - Text,Q33_4_TEXT
s15starred_cc,"Indicate if the authors report the following items for all the case-control studies in the article - 15starred_cc. Case-control study-Report numbers in each exposure category, or summary measures of exposure",Q34_1
s15starred_cc_ev,"Indicate if the authors report the following items for all the case-control studies in the article - 15starred_cc. Case-control study-Report numbers in each exposure category, or summary measures of exposure - Text",Q34_1_TEXT
s15_star_cc,Indicate if the authors report the following items for all the case-control studies in the article - 15_star_cc. Case-control studies - give the information separately for cases and controls,Q34_2
s15_star_cc_ev,Indicate if the authors report the following items for all the case-control studies in the article - 15_star_cc. Case-control studies - give the information separately for cases and controls - Text,Q34_2_TEXT
s15starred_cs,Indicate if the authors report the following items for all the cross-sectional studies in the article - 15starred_cs. Cross-sectional study-Report numbers of outcome events or summary measures,Q35_1
s15starred_cs_ev,Indicate if the authors report the following items for all the cross-sectional studies in the article - 15starred_cs. Cross-sectional study-Report numbers of outcome events or summary measures - Text,Q35_1_TEXT
s15_star_cs,Indicate if the authors report the following items for all the cross-sectional studies in the article - 15_star_cs. Cross-sectional studies - give the information separately for exposed and unexposed groups,Q35_2
s15_star_cs_ev,Indicate if the authors report the following items for all the cross-sectional studies in the article - 15_star_cs. Cross-sectional studies - give the information separately for exposed and unexposed groups - Text,Q35_2_TEXT
s16a_i,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_i. Give unadjusted estimates,Q36_1
s16a_i_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_i. Give unadjusted estimates - Text,Q36_1_TEXT
s16a_ii,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_ii. If applicable, give confounder-adjusted estimates",Q36_2
s16a_ii_ev,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_ii. If applicable, give confounder-adjusted estimates - Text",Q36_2_TEXT
s16a_iii,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_iii. If applicable, give the confounder-adjusted estimates' precision (eg, 95% confidence interval)",Q36_3
s16a_iii_ev,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_iii. If applicable, give the confounder-adjusted estimates' precision (eg, 95% confidence interval) - Text",Q36_3_TEXT
s16a_iv,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_iv. Make clear which confounders were adjusted for,Q36_4
s16a_iv_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_iv. Make clear which confounders were adjusted for - Text,Q36_4_TEXT
s16a_v,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_v. Make clear why confounders were included,Q36_5
s16a_v_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16a_v. Make clear why confounders were included - Text,Q36_5_TEXT
s16b,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16b. Report category boundaries when continuous variables were categorized,Q36_6
s16b_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16b. Report category boundaries when continuous variables were categorized - Text,Q36_6_TEXT
s16c,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16c. If relevant, consider translating estimates of relative risk into absolute risk for a meaningful time period",Q36_7
s16c_ev,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 16c. If relevant, consider translating estimates of relative risk into absolute risk for a meaningful time period - Text",Q36_7_TEXT
s17_i,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_i. Report analyses of subgroups,Q36_8
s17_i_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_i. Report analyses of subgroups - Text,Q36_8_TEXT
s17_ii,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_ii. Report analyses interactions,Q36_9
s17_ii_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_ii. Report analyses interactions - Text,Q36_9_TEXT
s17_iii,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_iii. Report sensitivity analyses,Q36_10
s17_iii_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_iii. Report sensitivity analyses - Text,Q36_10_TEXT
s17_iv,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_iv. Report other analyses done,Q36_11
s17_iv_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 17_iv. Report other analyses done - Text,Q36_11_TEXT
s18,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 18. Summarise key results with reference to study objectives,Q36_12
s18_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 18. Summarise key results with reference to study objectives - Text,Q36_12_TEXT
s19_i,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 19_i. Discuss limitations of the study, taking into account sources of potential bias or imprecision",Q36_13
s19_i_ev,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 19_i. Discuss limitations of the study, taking into account sources of potential bias or imprecision - Text",Q36_13_TEXT
s19_ii,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 19_ii. Discuss both direction and magnitude of any potential bias,Q36_14
s19_ii_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 19_ii. Discuss both direction and magnitude of any potential bias - Text,Q36_14_TEXT
s20,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 20. Give a cautious overall interpretation of results considering objectives, limitations, multiplicity of analyses, results from similar studies, and other relevant evidence",Q36_15
s20_ev,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 20. Give a cautious overall interpretation of results considering objectives, limitations, multiplicity of analyses, results from similar studies, and other relevant evidence - Text",Q36_15_TEXT
s21,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 21. Discuss the generalisability (external validity) of the study results,Q36_16
s21_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 21. Discuss the generalisability (external validity) of the study results - Text,Q36_16_TEXT
s22_i,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_i. Give the source of funding for the present study,Q36_17
s22_i_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_i. Give the source of funding for the present study - Text,Q36_17_TEXT
s22_ii,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_ii. Give the the role of the funders for the present study,Q36_18
s22_ii_ev,Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_ii. Give the the role of the funders for the present study - Text,Q36_18_TEXT
s22_iii,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_iii. If applicable, give the source of funding for the original study on which the present article is based",Q36_19
s22_iii_ev,"Indicate if the authors report the following items for all the studies in the article (unless a study design is specified) - 22_iii. If applicable, give the source of funding for the original study on which the present article is based - Text",Q36_19_TEXT
