Original item no,Original recommendation,Adapted item no,Adapted question (words in square brackets are added)
10,Explain how the study size was arrived at,10,
11,"Explain how quantitative variables were handled in the analyses. If applicable, describe which groupings were chosen and why",11_i,Explain how quantitative variables were handled in the analyses
11,,11_ii,"If applicable, describe which groupings were chosen and why"
11,,11_iii,"If applicable, describe why groupings were chosen "
12a,"(a) Describe all statistical methods, including those used to control for confounding",12a,
12b,(b) Describe any methods used to examine subgroups and interactions,12b_i,Describe any methods used to examine subgroups
12b,,12b_ii,Describe any methods used to examine interactions
12c,(c) Explain how missing data were addressed,12c,
12d,"(d) Cohort study—If applicable, explain how loss to follow-up was addressed. Case-control study—If applicable, explain how matching of cases and controls was addressed. Cross-sectional study—If applicable, describe analytical methods taking account of sampling strategy",12d_coh,"Cohort study—If applicable, explain how loss to follow-up was addressed"
12d,,12d_cc,"Case-control study—If applicable, explain how matching of cases and controls was addressed"
12d,,12d_cs,"Cross-sectional study—If applicable, describe analytical methods taking account of sampling strategy"
12e,(e) Describe any sensitivity analyses,12e,
13*a,"(a) Report numbers of individuals at each stage of study—eg numbers potentially eligible, examined for eligibility, confirmed eligible, included in the study, completing follow-up, and analysed",13starreda,"Report numbers of individuals at each stage of [the present] study—eg numbers potentially eligible, examined for eligibility, confirmed eligible, included in the study, completing follow-up, and analysed"
13*a,,13_star_a_cc,[Case-control studies] - Give information separately for cases and controls
13*a,,13_star_a_coh_cs,[Cohort and cross-sectional studies] - Give information separately for exposed and unexposed groups
13*b,(b) Give reasons for non-participation at each stage,13starredb,Give reasons for non-participation at each stage [of the present study]
13*b,,13_star_b_cc,[Case-control studies] - Give information separately for cases and controls
13*b,,13_star_b_coh_cs,[Cohort and cross-sectional studies] - Give information separately for exposed and unexposed groups
13*c,(c) Consider use of a flow diagram,13starredc,[Use a] flow diagram [if appropriate]
13*c,,13_star_c_cc,[Case-control studies] - Give information separately for cases and controls
13*c,,13_star_c_coh_cs,[Cohort and cross-sectional studies] - Give information separately for exposed and unexposed groups
14*a,"(a) Give characteristics of study participants (eg demographic, clinical, social) and information on exposures and potential confounders",14starreda_i,"Give characteristics of study participants (eg demographic, clinical, social)"
14*a,,14_star_a_i_cc,[Case-control studies] - Give information separately for cases and controls
14*a,,14_star_a_i_coh_cs,[Cohort and cross-sectional studies] - Give information separately for exposed and unexposed groups
14*a,,14starreda_ii,Give information on exposures and potential confounders
14*a,,14_star_a_ii_cc,[Case-control studies] - Give information separately for cases and controls
14*a,,14_star_a_ii_coh_cs,[Cohort and cross-sectional studies] - Give information separately for exposed and unexposed groups
14*b,(b) Indicate number of participants with missing data for each variable of interest,14starredb,
14*b,,14_star_b_cc,[Case-control studies] - Give information separately for cases and controls
14*b,,14_star_b_coh_cs,[Cohort and cross-sectional studies] - Give information separately for exposed and unexposed groups
14*c,"(c) Cohort study—Summarise follow-up time (eg, average and total amount)",14starredc_coh,
14*c,,14_star_c_coh,[Cohort studies] - Give information separately for exposed and unexposed groups
15*,Cohort study—Report numbers of outcome events or summary measures over time,15starred_coh,
15*,,15_star_coh,[Cohort studies] - Give information separately for exposed and unexposed groups
15*,"Case-control study—Report numbers in each exposure category, or summary measures of exposure",15starred_cc,
15*,,15_star_cc,[Case-control studies] - Give information separately for cases and controls
15*,Cross-sectional study—Report numbers of outcome events or summary measures,15starred_cs,
15*,,15_star_cs,[Cross-sectional studies] - Give information separately for exposed and unexposed groups
16a,"(a) Give unadjusted estimates and, if applicable, confounder-adjusted estimates and their precision (eg, 95% confidence interval). Make clear which confounders were adjusted for and why they were included",16a_i,Give unadjusted estimates
16a,,16a_ii,"if applicable, [give] confounder-adjusted estimates "
16a,,16a_iii,"if applicable, [give] confounder-adjusted estimates’ their precision (eg, 95% confidence interval)."
16a,,16a_iv,Make clear which confounders were adjusted for
16a,,16a_v,Make clear why confounders were included
16b,(b) Report category boundaries when continuous variables were categorized,16b,
16c,"(c) If relevant, consider translating estimates of relative risk into absolute risk for a meaningful time period",16c,
17,"Report other analyses done—eg analyses of subgroups and interactions, and sensitivity analyses",17_i,Report analyses of subgroups
17,,17_ii,Reports analyses of interactions
17,,17_iii,Report sensitivity analyses
17,,17_iv,Report other analyses done
18,Summarise key results with reference to study objectives,18,
19,"Discuss limitations of the study, taking into account sources of potential bias or imprecision. Discuss both direction and magnitude of any potential bias",19_i,"Discuss limitations of the study, taking into account sources of potential bias or imprecision."
19,,19_ii,Discuss both direction and magnitude of any potential bias
20,"Give a cautious overall interpretation of results considering objectives, limitations, multiplicity of analyses, results from similar studies, and other relevant evidence",20,
21,Discuss the generalisability (external validity) of the study results,21,
22,"Give the source of funding and the role of the funders for the present study and, if applicable, for the original study on which the present article is based",22_i,Give the source of funding for the present study
22,,22_ii,Give the role of the funders for the present study
22,,22_iii,"If applicable, give the source of funding for the original study on which the present article is based"
22,,22_iv,"If applicable, give the role of the funders for the original study on which the present article is based"
